node_1|node_1_type|node_2|node_2_type|edge|chunk_id
emotional symptoms|concept|severity of adhd symptoms|condition|The severity of emotional symptoms increases with the severity of other ADHD symptoms.|7d9284724aee49928a1c92f4d101646c
emotional symptoms|concept|adults with adhd|population|Emotional symptoms are also common among adults with ADHD.|7d9284724aee49928a1c92f4d101646c
adhd|condition|emotionalsymptoms|concept|integral to ADHD, rather than an associated trait|b68e2ca1203648488658bf36f8d99ada
emotional symptoms|concept|adhd patients|condition|present variably among patients with the disorder|b68e2ca1203648488658bf36f8d99ada
diagnostic nomenclature|documents|emotional symptoms in adhd|concept|debate about the nature of emotional symptoms in ADHD|b68e2ca1203648488658bf36f8d99ada
treatment service utilization|service|emotional symptoms in children with adhd|concept|correlated with impaired social, daily living, and adaptive skills|b68e2ca1203648488658bf36f8d99ada
social impairment|condition|children with adhd and higher levels of emotional symptoms|condition|rated as less likeable by unfamiliar peers in playgroups|b68e2ca1203648488658bf36f8d99ada
emotional excitability/impatience|concept|parent and self-rated social impairment|condition|associate with in adolescents|b68e2ca1203648488658bf36f8d99ada
adhd|condition|emotional symptoms|condition|People with ADHD and emotional symptoms have a lower quality of life and worse social adjustment compared to those with ADHD and no emotional symptoms.|d2c4396ce3c44b96a0492102d65b1b43
adhd|condition|unemployment|service|Emotional symptoms associate with unemployment among people with ADHD|d2c4396ce3c44b96a0492102d65b1b43
adhd|condition|poor work performance|concept|Emotional symptoms associate with poor work performance among people with ADHD|d2c4396ce3c44b96a0492102d65b1b43
adhd|condition|driver license suspensions|service|Patients with ADHD and emotional symptoms are more likely to have had driver license suspensions|d2c4396ce3c44b96a0492102d65b1b43
adhd|condition|financial problems|concept|Patients with ADHD and emotional symptoms are more likely to have had financial problems|d2c4396ce3c44b96a0492102d65b1b43
emotional symptoms|condition|lower quality of life|concept|People with ADHD and emotional symptoms have a lower quality of life|d2c4396ce3c44b96a0492102d65b1b43
emotional symptoms|condition|worse social adjustment|concept|People with ADHD and emotional symptoms have worse social adjustment|d2c4396ce3c44b96a0492102d65b1b43
emotional lability|concept|emotional reactivity|concept|The terms are used to describe emotionalsymptoms in ADHD.|5209537e502344aeb83e4d7649d3befe
emotional impulsivity|concept|emotional instability|concept|The terms are used to describe emotionalsymptoms in ADHD.|5209537e502344aeb83e4d7649d3befe
emotion dysregulation|concept|distress tolerance|concept|The terms are used to describe emotionalsymptoms in ADHD.|5209537e502344aeb83e4d7649d3befe
emotional self-regulation|concept|frustration discomfort|concept|The terms are used to describe emotionalsymptoms in ADHD.|5209537e502344aeb83e4d7649d3befe
emotional regulation|concept|emotion generation|concept|Emotional regulation refers to the management of one's current emotional state after it emerges.|5209537e502344aeb83e4d7649d3befe
emotional regulation|concept|sensory gating|concept|The emergence of emotional states also involves regulating processes such as sensory gating.|5209537e502344aeb83e4d7649d3befe
emotional regulation|concept|thresholds for stimuli to activate emotion|concept|The emergence of emotional states also involves regulating processes such as thresholds for stimuli to activate emotion.|5209537e502344aeb83e4d7649d3befe
emotional regulation|concept|anticipatory appraisal and valuation|concept|The emergence of emotional states also involves regulating processes such as anticipatory appraisal and valuation.|5209537e502344aeb83e4d7649d3befe
emotion|concept|anticipatory appraisal and valuation|concept|related to|df4a53231a1e4679a83e21bfee80178d
regulatory processes|concept|emotion|concept|developmentally incorporated into emotion itself|df4a53231a1e4679a83e21bfee80178d
emotional states|concept|regulation|concept|become the focus of controlling processes|df4a53231a1e4679a83e21bfee80178d
emotion generation|concept|emotional states|concept|differentiated from regulation|df4a53231a1e4679a83e21bfee80178d
regulation|concept|emotion generation|concept|comprises factors through which problematic emotional states are controlled|df4a53231a1e4679a83e21bfee80178d
regulation|concept|emotional states|concept|encompasses the array of factors through which problematic emotional states are controlled|df4a53231a1e4679a83e21bfee80178d
association for child and adolescent mental health|organization|child and adolescent mental health|concept|has focus on|94cd63acd1814de5b601c0191d48f3e7
stephen v. faraone et al.|person|association for child and adolescent mental health|organization|are affiliated with|94cd63acd1814de5b601c0191d48f3e7
emotionregulation|concept|management aspect|object|The process of emotion regulation emphasizes the management aspect.|7022e49dac6040bea6547ef80dd12488
ei|concept|emotion generation|object|EI refers to the process of generating emotions that are highly impulsive.|7022e49dac6040bea6547ef80dd12488
desr|concept|self-regulatory functions|object|DESR refers to the process of self-regulating emotional experience to rein in behavior.|7022e49dac6040bea6547ef80dd12488
emotionally reactive behavior|condition|weak self-regulatory processes|concept|Due to weak self-regulatory processes, emotionally reactive behavior can reach high levels and be abnormally prolonged.|7022e49dac6040bea6547ef80dd12488
anger experienced by an adhd driver|condition|self-regulatory mechanisms|concept|The ADHD driver cannot soothe himself with self-regulatory mechanisms, unlike the non-ADHD driver.|7022e49dac6040bea6547ef80dd12488
emotional symptoms in adhd|condition|negative valence|concept|Emotional symptoms in ADHD often have a negative valence.|7022e49dac6040bea6547ef80dd12488
ei and desr|concept|valence-free terms|object|Both EI and DESR are valence-free terms, meaning they do not have a positive or negative emotional connotation.|7022e49dac6040bea6547ef80dd12488
adhd child|person|classroom|location|is present in|478240508df4460baaf6cd28eb634456
emotional self-regulation skills|concept|covert smile|condition|leads to|478240508df4460baaf6cd28eb634456
explosive giggle|condition|adhd child|person|is characteristic of|478240508df4460baaf6cd28eb634456
ei (emotional impulsivity)|concept|emotionally evocative situations|condition|is triggered by|478240508df4460baaf6cd28eb634456
rapid emotional responses|condition|ei (emotional impulsivity)|concept|are a consequence of|478240508df4460baaf6cd28eb634456
provoke- ing stimuli|condition|ei (emotional impulsivity)|concept|trigger|478240508df4460baaf6cd28eb634456
desr (delayed emotional return)|concept|activated emotions|condition|affects the return of|478240508df4460baaf6cd28eb634456
emotional experience and behavior dyssynchrony|condition|adhd child|person|may be a characteristic of|478240508df4460baaf6cd28eb634456
emotional experience|concept|observed behavior|behavioral response system|may have particular significance for ADHD, as there is a tendency to attribute greater anger or pleasure to individuals based on their behavior|d9207df48d094890b2baf07a55fe882e
behavioral response system|behavioral response system|subjective/cognitive response system|subjective/cognitive response system|jointly constitute emotions, and their covariation varies greatly across individuals|d9207df48d094890b2baf07a55fe882e
emotional states|concept|response systems|response system|varies greatly across individuals, and findings of weak concordance between response systems have been demonstrated in adults, children, and adolescents|d9207df48d094890b2baf07a55fe882e
subjectively experienced emotion|subjective/cognitive response system|observed behavior|behavioral response system|suggests that unusually intense behaviors do not necessarily signify a commensurate rise in felt emotion|d9207df48d094890b2baf07a55fe882e
behavioral expression|behavioral response system|behavioral disinhibition|concept|may be inherent to ADHD, and EI can be viewed as a special instance of a broader construct of impulsivity|d9207df48d094890b2baf07a55fe882e
adhd|condition|emotional intensity (ei)|concept|high EI is a characteristic of ADHD|ec66bf431a034c048b777baabbc853ba
adhd|condition|disinhibited emotionally expressive behavior|behavior|ADHD is characterized by disinhibited emotionally expressive behavior|ec66bf431a034c048b777baabbc853ba
emotional intensity (ei)|concept|self-regulatory skills|service|self-regulatory skills are needed to bring emotions back to baseline|ec66bf431a034c048b777baabbc853ba
emotional intensity (ei)|concept|adhd presentation|condition|high EI can lead to certain ADHD presentations|ec66bf431a034c048b777baabbc853ba
adhd prototype|documents|emotional and behavioral trajectories|concept|an ADHD prototype is presented with high EI and high DESR|ec66bf431a034c048b777baabbc853ba
adhd|condition|ei|concept|high EI leads to a fast rise time for the intensity of subjective states and behavior|8e26cb7b6c12495686c35dfa17e662b4
ei|concept|intensity of subjective states and behavior|condition|EI leads to a fast rise time for the intensity of subjective states and behavior|8e26cb7b6c12495686c35dfa17e662b4
adhd|condition|desr|concept|high DESR is associated with ADHD presentations|8e26cb7b6c12495686c35dfa17e662b4
ei|concept|behavioral responses|condition|high EI leads to excessive behavioral responses|8e26cb7b6c12495686c35dfa17e662b4
desr|concept|emotional responses|condition|high DESR is associated with rapid emotional responses|8e26cb7b6c12495686c35dfa17e662b4
ei|concept|behavioral responses and emotional responses|condition|EI and DESR are excessive for the level of emotion|8e26cb7b6c12495686c35dfa17e662b4
emotional impulsivity|condition|high emotional thresholds|concept|Characterized by lower emotional thresholds and shorter rise times|7da1d573652f43bb9bf432754ed99983
emotional self-regulation skills|service|subjective emotionality|concept|Skills return subjective emotionality to baseline|7da1d573652f43bb9bf432754ed99983
behavioral expression|concept|emotional response|concept|Change in tandem during the peak levels of emotions phase|7da1d573652f43bb9bf432754ed99983
emotion generation|service|return to baseline|concept|Phase 3: Emotional self-regulation skills return subjective emotionality and expressive behaviors to baseline|7da1d573652f43bb9bf432754ed99983
emotional self-regulation skills|service|recovery times|concept|Prolonged episodes of behavioral disturbance due to poor self-regulation skills|7da1d573652f43bb9bf432754ed99983
emotion generation|service|behavioral indicators|concept|Gradual but reaches high levels in ADHD Prototype 2 phase 1|7da1d573652f43bb9bf432754ed99983
subjective emotionality|concept|behavioral indicators|concept|Lag behind subjective experience in ADHD Prototype 2 phase 2|7da1d573652f43bb9bf432754ed99983
emotional impulsivity|condition|negative emotion|emotion|Emotional impulsivity is related to negative emotion as it causes emotions to arise at lower thresholds, shorter rise times and intense emotional responses|43ac17d662a146e3a8370fb9606f3ac6
effective self-regulation|concept|emotions|condition|Effective self-regulation is related to emotions as it helps in shortening the peak and returning subjective emotionality and expressive behaviors to baseline|43ac17d662a146e3a8370fb9606f3ac6
rumination|behavior|maladaptive emotions|condition|Rumination is related to maladaptive emotions as it sustains and intensifies them|43ac17d662a146e3a8370fb9606f3ac6
avoidance|behavior|maladaptive emotions|condition|Avoidance is related to maladaptive emotions as it sustains and intensifies them|43ac17d662a146e3a8370fb9606f3ac6
emotional lability|concept|high emotional impulsivity|condition|Emotional lability is related to high emotional impulsivity as it is a prototype for ADHD|43ac17d662a146e3a8370fb9606f3ac6
patients with no ei|entity|desr|service|combined with DESR leads to slower generation of emotions|484de84801824d94bcae6f27581da75e
ei|concept|impairing level of intensity|condition|generation of emotions from EI results in impairing level of intensity|484de84801824d94bcae6f27581da75e
ei|concept|recovery|service|recovery from EI is difficult|484de84801824d94bcae6f27581da75e
emotional lability|condition|rapid changes in emotional states|concept|Emotional lability refers to rapid changes in emotional states|484de84801824d94bcae6f27581da75e
self-regulatory processes|service|quick return to baseline|concept|sufficient self-regulatory processes result in quick return to baseline|484de84801824d94bcae6f27581da75e
hyperactive-impulsive adhd presentations|entity|el|condition|Figure 1D prototype of EL would be associated with hyperactive-impulsive ADHD presentations|484de84801824d94bcae6f27581da75e
inattentive adhd presentations|entity|ei|concept|Figure 1C prototype would be associated with inattentive ADHD presentations|484de84801824d94bcae6f27581da75e
emotional dysregulation|condition|inadequate self-control and weak behavioral inhibition|concept|emotional dysregulation is frequently cited source of, inadequate self-control and weak behavioral inhibition|484de84801824d94bcae6f27581da75e
adhd|entity|other approaches to emotion-regulatory processes disrupted in adhd|concept|different frameworks for the specific processes involved in emotion regulation tend to converge on a list of impairments that resembles those found in ADHD|484de84801824d94bcae6f27581da75e
emotional dysregulation|condition|self-regulatory deficits|condition|ADHD patients are prone to|fbee94ee38894601adfb051d9a6456ad
poorly controlled emotionally driven behavior|condition|self-regulatory deﬁcits|condition|casualty of|fbee94ee38894601adfb051d9a6456ad
emotion regulation|concept|adhd patients|person|processes that are under effortful self-control|fbee94ee38894601adfb051d9a6456ad
reappraisal|concept|emotion regulation|concept|explicit process in|fbee94ee38894601adfb051d9a6456ad
diverting one’s attention|concept|emotion regulation|concept|explicit process in|fbee94ee38894601adfb051d9a6456ad
suppression of outward signs of reactivity|concept|emotion regulation|concept|explicit process in|fbee94ee38894601adfb051d9a6456ad
self-monitoring|concept|emotion regulation|concept|regulatory model includes|fbee94ee38894601adfb051d9a6456ad
self-monitoring|skillset|effortful strategy|strategy|self-monitoring is a prerequi-site to timely deployment of an effortful strategy|fcb0fbe908714da8b19c6e22bf3acc1b
self-monitoring|skillset|emotional arousal|affectivearousal|low awareness of performance errors and emergent affective arousal|fcb0fbe908714da8b19c6e22bf3acc1b
effortful strategy|strategy|emotional arousal|affectivearousal|effortful strategy is applied to either EI or DESR|fcb0fbe908714da8b19c6e22bf3acc1b
valuation|appraisal|emotion generation|emotion generation|valuation influences emotion generation; afterward, valuation of the emotional state itself|fcb0fbe908714da8b19c6e22bf3acc1b
high ei|ei|emotional state|emotional state|high EI signifies that a person overvalues what he or she wants to attain or maintain|fcb0fbe908714da8b19c6e22bf3acc1b
reappraisal|element|emotionally evocative situations|situation|reappraisal is an essential element of effectively managing emotionally evocative situations|fcb0fbe908714da8b19c6e22bf3acc1b
reappraisal|element|young children|children|adults try to do this explicitly with young children by telling them they will get to do the preferred activity later|fcb0fbe908714da8b19c6e22bf3acc1b
social payoff|concept|motivation|concept|highly valued by others implies|4d53672ab07a41af9ee04344089829a5
self-regulatory skills|concept|cognitive flexibility|concept|impairs among those with ADHD|4d53672ab07a41af9ee04344089829a5
adhd|condition|re-evaluate goals and behavior|concept|lowers one's capacity|4d53672ab07a41af9ee04344089829a5
emotional upsets|concept|certain events|concept|attach anomalous valuations|4d53672ab07a41af9ee04344089829a5
distress tolerance|concept|emotional regulation|concept|tempers EI to avoid excessive emotion generation|4d53672ab07a41af9ee04344089829a5
distress tolerance|concept|rewards system|concept|process regulated by|4d53672ab07a41af9ee04344089829a5
immediate reinforcement|concept|reward|concept|Immediate reinforcement is a type of reward that occurs in response to an action.|5cc7f85c1b1b476e94c9aa4d6fd7e0e3
negative reinforcement|concept|reward|concept|Negative reinforcement is a type of reward that occurs when an unpleasant stimulus is removed in response to an action.|5cc7f85c1b1b476e94c9aa4d6fd7e0e3
adhd|condition|emotional dysregulation|concept|ADHD is associated with emotional dysregulation, which affects a person's ability to regulate their emotions.|5cc7f85c1b1b476e94c9aa4d6fd7e0e3
adhd|condition|exaggerated delay discounting|concept|People with ADHD tend to have exaggerated delay discounting, which means they prefer immediate rewards over delayed ones.|5cc7f85c1b1b476e94c9aa4d6fd7e0e3
delayed reinforcement|concept|reinforcer|concept|Delayed reinforcement refers to a reinforcer that becomes accessible after a period of time has passed.|5cc7f85c1b1b476e94c9aa4d6fd7e0e3
irritability|condition|adhd|disorder|can be a symptom of ADHD|2a66266f7c884f4a815b08ab63fdce3e
irritability|condition|bipolar disorder|disorder|can be a symptom of bipolar disorder|2a66266f7c884f4a815b08ab63fdce3e
adhd|disorder|mood disorder|condition|is not a mood disorder|2a66266f7c884f4a815b08ab63fdce3e
irritability|condition|emotional symptoms|concept|can be an emotional symptom|2a66266f7c884f4a815b08ab63fdce3e
disruptive mood dysregulation disorder|disorder|mood disorders|condition|is a type of mood disorder|2a66266f7c884f4a815b08ab63fdce3e
disruptive mood dysregulation disorder (dmdd)|condition|adhd|condition|Differ in their episodic rages and persistent irritability|b9ccd713895b49e9944caa0ae1621b46
disruptive mood dysregulation disorder (dmdd)|condition|temper outbursts|documents|Requires four mood criteria|b9ccd713895b49e9944caa0ae1621b46
adhd|condition|dysregulation|concept|Associated with a persistent angry or irritable mood|b9ccd713895b49e9944caa0ae1621b46
disruptive mood dysregulation disorder (dmdd)|condition|provocation|concept|Outbursts are out of proportion to the situation|b9ccd713895b49e9944caa0ae1621b46
adhd|condition|euthymic baseline|documents|Experienced by most children with ADHD|b9ccd713895b49e9944caa0ae1621b46
provocation|concept|emotional state|condition|provocation can alter one's emotional state|12cf0472f8e84c1e81afb510b59cd230
ei|documents|emotionally intense provocation|concept|EI is related to emotionally intense provocation|12cf0472f8e84c1e81afb510b59cd230
dmdd|documents|intensified negative mood|condition|DMDD is associated with intensified negative mood|12cf0472f8e84c1e81afb510b59cd230
irritability|concept|oppositional defiant disorder (odd)|condition|irritability is diagnostic for ODD|12cf0472f8e84c1e81afb510b59cd230
irritability|concept|conduct problems|condition|irritability is associated with conduct problems|12cf0472f8e84c1e81afb510b59cd230
irritability|concept|anxiety|condition|irritability is associated with anxiety|12cf0472f8e84c1e81afb510b59cd230
irritability|concept|autism spectrum disorders|condition|irritability is associated with autism spectrum disorders|12cf0472f8e84c1e81afb510b59cd230
irritability|concept|personality disorders|condition|irritability is associated with personality disorders|12cf0472f8e84c1e81afb510b59cd230
irritability|concept|intermittent explosive disorder|condition|irritability is associated with intermittent explosive disorder|12cf0472f8e84c1e81afb510b59cd230
emotional symptoms|concept|adhd|documents|emotional symptoms are related to ADHD|12cf0472f8e84c1e81afb510b59cd230
irritability|condition|adhd symptoms|condition|Increased severity of irritability was associated with increased severity of ADHD symptoms.|24bb1c9b23174c5098aa2cde82ff1789
irritability|condition|mood disorder|condition|Greater severity of irritability was associated with a comorbid mood disorder.|24bb1c9b23174c5098aa2cde82ff1789
irritability|condition|anxiety disorders|condition|There exists evidence of a relationship between anxiety disorders and irritability.|24bb1c9b23174c5098aa2cde82ff1789
irritability|condition|adhd|condition|There exists evidence of a relationship between irritability and ADHD in clinical populations.|24bb1c9b23174c5098aa2cde82ff1789
mood disorder|condition|irritability|condition|Greater severity of irritability was associated with a comorbid mood disorder.|24bb1c9b23174c5098aa2cde82ff1789
bipolar disorder|condition|irritability|condition|there is a clear relationship between irritability and anxiety disorders|2d8a42dab1fa4773b8d1c4cdc50f62c8
anxiety disorders|condition|irritability|condition|the relationship between anxiety and irritability in ADHD youths is presently unclear|2d8a42dab1fa4773b8d1c4cdc50f62c8
adhd prs|concept|irritability traits|condition|associations were found between ADHD PRS and early irritability traits|2d8a42dab1fa4773b8d1c4cdc50f62c8
childhood irritability|concept|adhd|condition|childhood irritability in the population is associated more with ADHD than anxiety and mood disorders|2d8a42dab1fa4773b8d1c4cdc50f62c8
anxiety disorders|condition|mood disorders|condition|associations with anxiety and mood disorders were not found|2d8a42dab1fa4773b8d1c4cdc50f62c8
adhd|"object|entity"|emotional symptoms|"condition|documents|concept"|The emotional symptoms of ADHD are separate entities.|4a728a9f18964c7a8824e3e228b358e7
odd|"object|entity"|irritability|"condition|documents|concept"|The irritability of ODD is distinct from the 'mood/affect sub-dimensions' of ODD.|4a728a9f18964c7a8824e3e228b358e7
emotional lability|"condition|documents|concept"|odd|"object|entity"|19.7% of the children had emotional lability only, 16.6% had ODD only.|4a728a9f18964c7a8824e3e228b358e7
irritability in adhd|"condition|documents|concept"|deﬁcits in response inhibition to frustration|concept|Irritability in ADHD is inﬂuenced by deﬁcits in response inhibition to frustration.|4a728a9f18964c7a8824e3e228b358e7
irritability in odd|"condition|documents|concept"|vulnerability for emotional disorders (mood and anxiety)|concept|One hypothesis is that irritability in ODD is inﬂuenced by vulnerability for emotional disorders.|4a728a9f18964c7a8824e3e228b358e7
emotional symptoms of adhd|"condition|documents|concept"|psychiatric comorbidity|concept|It is possible that the emotional symptoms of ADHD are simply epiphenomena of comorbidity.|4a728a9f18964c7a8824e3e228b358e7
adhd|"object|entity|location|organization|person|condition|documents|concept|date"|emotional symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|ADHD is associated with emotional symptoms|3f8b5e9364c94a7690a8bfb725f9a741
emotional symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|predicting emotional symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|emotional symptoms are predicted in multiple areas|3f8b5e9364c94a7690a8bfb725f9a741
education|"object|entity|location|organization|person|condition|documents|concept|date"|adhd symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|education is one of the areas affected by ADHD symptoms|3f8b5e9364c94a7690a8bfb725f9a741
legal|"object|entity|location|organization|person|condition|documents|concept|date"|adhd symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|legal is one of the areas affected by ADHD symptoms|3f8b5e9364c94a7690a8bfb725f9a741
financial|"object|entity|location|organization|person|condition|documents|concept|date"|adhd symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|financial is one of the areas affected by ADHD symptoms|3f8b5e9364c94a7690a8bfb725f9a741
family life|"object|entity|location|organization|person|condition|documents|concept|date"|adhd symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|family life is one of the areas affected by ADHD symptoms|3f8b5e9364c94a7690a8bfb725f9a741
social relations|"object|entity|location|organization|person|condition|documents|concept|date"|adhd symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|social relations is one of the areas affected by ADHD symptoms|3f8b5e9364c94a7690a8bfb725f9a741
emotional self-regulation|"object|entity|location|organization|person|condition|documents|concept|date"|adhd emotional symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|emotional self-regulation is a construct related to ADHD emotional symptoms|3f8b5e9364c94a7690a8bfb725f9a741
affective reactivity|"object|entity|location|organization|person|condition|documents|concept|date"|adhd emotional symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|affective reactivity is a construct related to ADHD emotional symptoms|3f8b5e9364c94a7690a8bfb725f9a741
emotional lability|"object|entity|location|organization|person|condition|documents|concept|date"|adhd emotional symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|emotional lability is a construct related to ADHD emotional symptoms|3f8b5e9364c94a7690a8bfb725f9a741
expression of emotions|"object|entity|location|organization|person|condition|documents|concept|date"|adhd emotional symptoms|"object|entity|location|organization|person|condition|documents|concept|date"|expression of emotions is a construct related to ADHD emotional symptoms|3f8b5e9364c94a7690a8bfb725f9a741
normed scales|documents|patient’s level of ei|concept|can gauge how the patient's level of EI differs from that of an average person|5571cb12665c40e1aa90ef8e0ccb4e41
free tools|documents|paid tools|documents|no data to indicate that the free tools are better or worse than those that require a fee|5571cb12665c40e1aa90ef8e0ccb4e41
scales for emotion regulation|documents|people with adhd|person|were not developed specifically for people with ADHD|5571cb12665c40e1aa90ef8e0ccb4e41
conners global index emotional lability scale|documents|emotional lability|concept|focus on emotional lability, which overlaps with emotional dysregulation|5571cb12665c40e1aa90ef8e0ccb4e41
wender-reimherr adult attention deficit disorder scale|documents|emotional regulation|concept|measures of executive functioning|5571cb12665c40e1aa90ef8e0ccb4e41
executive function|concept|adhd|condition|broadly defined|5571cb12665c40e1aa90ef8e0ccb4e41
emotional dysregulation|concept|autism spectrum disorder|condition|chronic and persistent|5571cb12665c40e1aa90ef8e0ccb4e41
episodic emotional dysregulation|concept|adhd|condition|distinct from autism spectrum disorder|5571cb12665c40e1aa90ef8e0ccb4e41
attention-deﬁcit/hyperactivity disorder|condition|impulsive aggression|concept|Impulsive aggression is a characteristic of Attention-deﬁcit/hyperactivity disorder|baa5dd3f50e14966b39e324960e963d5
autism spectrum disorder|condition|emotional dysregulation|concept|Emotional dysregulation is a characteristic of Autism spectrum disorder|baa5dd3f50e14966b39e324960e963d5
bipolar disorder|condition|emotional dysregulation|concept|Emotional dysregulation is a characteristic of Bipolar disorder|baa5dd3f50e14966b39e324960e963d5
borderline personality disorder|condition|emotional dysregulation|concept|Emotional dysregulation is a characteristic of Borderline personality disorder|baa5dd3f50e14966b39e324960e963d5
disruptive mood regulation disorder|condition|emotional dysregulation|concept|Emotional dysregulation is a characteristic of Disruptive mood regulation disorder|baa5dd3f50e14966b39e324960e963d5
oppositional deﬁant disorder|condition|impulsive aggression|concept|Impulsive aggression is a characteristic of Oppositional deﬁant disorder|baa5dd3f50e14966b39e324960e963d5
intermittent explosive disorder|condition|impulsive aggression|concept|Impulsive aggression is a characteristic of Intermittent explosive disorder|baa5dd3f50e14966b39e324960e963d5
emotional dysregulation|concept|distress tolerance|concept|related construct|33f1c3173c4045789ac9afd6dc5ed3cd
emotional dysregulation|concept|aversive emotional states|concept|refers to the ability to withstand|33f1c3173c4045789ac9afd6dc5ed3cd
medical treatment|service|emotional dysregulation|concept|has some improvement in emotional dysregulation|33f1c3173c4045789ac9afd6dc5ed3cd
methylphenidate (mph)|documents|emotional dysregulation|concept|had a positive effect which was in the moderate range|33f1c3173c4045789ac9afd6dc5ed3cd
atomoxetine (atx)|documents|emotional dysregulation|concept|had a positive effect which was in the moderate range|33f1c3173c4045789ac9afd6dc5ed3cd
meta-analysis (lenzi, cortese, harris, &masi, 2018)|documents|emotional dysregulation|concept|included 21 studies|33f1c3173c4045789ac9afd6dc5ed3cd
distress tolerance (simons & gaher, 2005) scale|documents|emotional dysregulation|concept|focus on the related construct of distress tolerance|33f1c3173c4045789ac9afd6dc5ed3cd
frustration discomfort (harrington, 2005) scale|documents|emotional dysregulation|concept|focus on the related construct of distress tolerance|33f1c3173c4045789ac9afd6dc5ed3cd
children|entity|adults|entity|The report is for both children and adults.|8ce2bce91ef4446ca0ab5ea86b69a99e
trials norms availability|documents|affective lability scale –short form (als-18) |documents|The ALS-18 is a trial with norms available|8ce2bce91ef4446ca0ab5ea86b69a99e
trials norms availability|documents|affective reactivity index (ari)|documents|The ARI is a trial with norms not found|8ce2bce91ef4446ca0ab5ea86b69a99e
trials norms availability|documents|barkley deﬁcits in executive functioning scale — children and adolescents (bdefs-ca)|documents|The BDEFS-CA is a trial with norms not found|8ce2bce91ef4446ca0ab5ea86b69a99e
trials norms availability|documents|behavior rating inventory of executive function (brief or emotion control subscale)|documents|The BRIEF is a trial with norms available|8ce2bce91ef4446ca0ab5ea86b69a99e
