source,target,edge,edge_type,value,color
% patients screened using validated method to screen for adhd,screening,exists is same context,contextual proximity,2,#808080
% patients seen within 30 days medication initiation,% patients meeting dsm criteria for adhd,exists is same context,contextual proximity,4,#808080
% patients seen within 30 days medication initiation,% patients treated with psychostimulant medication,"patients who receive psychostimulant medication are required to have a follow-up visit,exists is same context",relation,6,#22dd22
% patients stabilized on an adhd medication ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% patients stabilized on an adhd medication ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% patients stabilized on an adhd medication ,seen at least once per year,Mean Ratings for % patients stabilized on an ADHD medication seen at least once per year,relation,4,#22dd22
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% patients stabilized on an adhd medication ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,4,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,communication with other health care providers occurs at least annually,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,daily use of medication recommended,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,external treatment resources,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,prescription monitoring program consulted at least annually,"Mean Ratings for % patients treated for ADHD for whom prescription monitoring program was consulted at least annually,exists is same context",relation,6,#22dd22
% of patients medicated for adhd ,prescription refills are coordinated with other prescribers,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,psychosocial and educational needs have been re-evaluated at least annually,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,risks and benefits of stopping treatment discussed at least annually,"Mean Ratings for % patients treated for ADHD for whom risks and benefits of stopping treatment have been discussed at least annually,exists is same context",relation,6,#22dd22
% of patients medicated for adhd ,seen at least once per year,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,seen within one month of first prescription,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,substance use evaluated at least annually,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,transition care coordinated for vacations and other times away,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,vitals taken at least annually,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,daily use of medication recommended,Mean Ratings for % patients treated with ADHD medication for whom daily use of medication recommended,relation,4,#22dd22
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,vitals taken at least annually,Mean Ratings for % patients treated with ADHD medications for whom vitals taken at least annually,relation,4,#22dd22
% patients treated with psychostimulant medication,% patients evaluated with parent vanderbilt rating scales,exists is same context,contextual proximity,2,#808080
% patients treated with psychostimulant medication,% patients evaluated with teacher vanderbilt rating scales,exists is same context,contextual proximity,2,#808080
% patients treated with psychostimulant medication,% patients meeting dsm criteria for adhd,exists is same context,contextual proximity,8,#808080
% patients treated with psychostimulant medication,% patients on medication with at least 2 follow-up visits a year in record,exists is same context,contextual proximity,2,#808080
% patients treated with psychostimulant medication,% patients seen within 30 days medication initiation,exists is same context,contextual proximity,2,#808080
% patients treated with psychostimulant medication,% patients whose medical record contains documentation of dsm criteria,exists is same context,contextual proximity,2,#808080
% patients treated with psychostimulant medication,confirmation of impairment in 2+ settings,exists is same context,contextual proximity,2,#808080
% patients whose medical record contains documentation of dsm criteria,% patients meeting dsm criteria for adhd,exists is same context,contextual proximity,4,#808080
% patients whose medical record contains documentation of dsm criteria,% patients treated with psychostimulant medication,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% patients stabilized on an adhd medication ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,4,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,communication with other health care providers occurs at least annually,"Mean Ratings for % patients with ADHD for whom communication with other health care providers occurs at least annually,exists is same context",relation,6,#22dd22
% of patients medicated for adhd ,daily use of medication recommended,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,external treatment resources,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,prescription monitoring program consulted at least annually,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,prescription refills are coordinated with other prescribers,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,psychosocial and educational needs have been re-evaluated at least annually,"Mean Ratings for % patients with ADHD for whom psychosocial and educational needs have been re-evaluated at least annually,exists is same context",relation,6,#22dd22
% of patients medicated for adhd ,risks and benefits of stopping treatment discussed at least annually,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,seen at least once per year,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,seen within one month of first prescription,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,substance use evaluated at least annually,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,transition care coordinated for vacations and other times away,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,vitals taken at least annually,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,external treatment resources,Mean Ratings for % patients with ADHD referred to external treatment resources,relation,4,#22dd22
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,% of patients medicated for adhd ,exists is same context,contextual proximity,2,#808080
% of patients medicated for adhd ,substance use evaluated at least annually,Mean Ratings for % patients with ADHD where substance use has been evaluated at least annually,relation,4,#22dd22
% patients with adhd with documentation of impairment,screening,exists is same context,contextual proximity,3,#808080
1.4 million individuals,amphetamine,exists is same context,contextual proximity,2,#808080
1.4 million individuals,"intentional, nontherapeutic use",exists is same context,contextual proximity,2,#808080
1.4 million individuals,stimulants,exists is same context,contextual proximity,2,#808080
2000 people,adhd medication,exists is same context,contextual proximity,5,#808080
2000 people,medical literature,exists is same context,contextual proximity,2,#808080
2000 people,studies,exists is same context,contextual proximity,3,#808080
28 adhd experts,adolescents and young adults with adhd,exists is same context,contextual proximity,2,#808080
28 adhd experts,draft list of 46 qms,"had them brainstorm potential QMs,exists is same context",relation,6,#22dd22
28 adhd experts,quality measure,exists is same context,contextual proximity,2,#808080
2–4 hours,adhd,exists is same context,contextual proximity,8,#808080
2–4 hours,adhd impairments,exists is same context,contextual proximity,3,#808080
2–4 hours,long acting,exists is same context,contextual proximity,2,#808080
2–4 hours,short acting,exists is same context,contextual proximity,2,#808080
4.4% of adults,adolescents and young adults with adhd,exists is same context,contextual proximity,2,#808080
4.4% of adults,substantial impairments,exists is same context,contextual proximity,2,#808080
4.4% of adults,traffic accidents,exists is same context,contextual proximity,2,#808080
40-50 percent of participants met adhd criteria at any given follow-up,recurrence,exists is same context,contextual proximity,2,#808080
40-50 percent of participants met adhd criteria at any given follow-up,remission,exists is same context,contextual proximity,2,#808080
48 cohorts,structural grey matter volume reductions,exists is same context,contextual proximity,2,#808080
2–4 hours,adhd,exists is same context,contextual proximity,8,#808080
2–4 hours,adhd impairments,exists is same context,contextual proximity,3,#808080
2–4 hours,long acting,exists is same context,contextual proximity,2,#808080
2–4 hours,short acting,exists is same context,contextual proximity,2,#808080
5 mg orally in the morning on the first day,cardiovascular history,exists is same context,contextual proximity,2,#808080
5.9%,adhd,exists is same context,contextual proximity,8,#808080
5.9%,thorough evaluation,exists is same context,contextual proximity,2,#808080
5.9%,adolescence,have ADHD,relation,4,#22dd22
50,adhd,exists is same context,contextual proximity,6,#808080
50,adult,exists is same context,contextual proximity,2,#808080
50,adolescence,exists is same context,contextual proximity,2,#808080
504 plan,daily report card,"may be suggested as an accommodation,exists is same context",relation,6,#22dd22
5mg and 10mg,concerta,exists is same context,contextual proximity,2,#808080
5mg and 10mg,dose,exists is same context,contextual proximity,2,#808080
5mg and 10mg,long-acting medications,exists is same context,contextual proximity,3,#808080
5mg and 10mg,dexmethylphenidate,exists is same context,contextual proximity,3,#808080
2–4 hours,adhd,exists is same context,contextual proximity,8,#808080
2–4 hours,adhd impairments,exists is same context,contextual proximity,3,#808080
2–4 hours,long acting,exists is same context,contextual proximity,2,#808080
2–4 hours,short acting,exists is same context,contextual proximity,2,#808080
79 authors,adhd,exists is same context,contextual proximity,2,#808080
79 authors,authors from 27 countries and 6 continents,exists is same context,contextual proximity,2,#808080
79 authors,empirically supported statements,exists is same context,contextual proximity,3,#808080
2–4 hours,adhd,exists is same context,contextual proximity,8,#808080
2–4 hours,adhd impairments,exists is same context,contextual proximity,3,#808080
2–4 hours,long acting,exists is same context,contextual proximity,2,#808080
2–4 hours,short acting,exists is same context,contextual proximity,2,#808080
a death in the family,adhd,"increased the subsequent likelihood of ADHD by 60%,exists is same context",relation,20,#22dd22
a death in the family,rutter's indicators of adversity,exists is same context,contextual proximity,2,#808080
a father or brother or sister with epilepsy,adhd,"The risk of having ADHD was 50-60% greater if the father or brother or sister did,exists is same context",relation,17,#22dd22
a father or brother or sister with epilepsy,epilepsy,exists is same context,contextual proximity,3,#808080
a frequent complaint among users,behavioral changes,exists is same context,contextual proximity,2,#808080
a frequent complaint among users,cardiovascular effects,exists is same context,contextual proximity,2,#808080
a frequent complaint among users,central nervous system effects,exists is same context,contextual proximity,3,#808080
a frequent complaint among users,gastrointestinal issues,exists is same context,contextual proximity,3,#808080
a frequent complaint among users,mental conditions,exists is same context,contextual proximity,3,#808080
a frequent complaint among users,sleep disturbances,exists is same context,contextual proximity,2,#808080
a person's mother with epilepsy,adhd,"The risk of having ADHD was 85% greater if the person’s mother had epilepsy,exists is same context",relation,17,#22dd22
a person's mother with epilepsy,epilepsy,exists is same context,contextual proximity,3,#808080
abdominal pain,adhd,exists is same context,contextual proximity,2,#808080
abdominal pain,dexmethylphenidate,exists is same context,contextual proximity,3,#808080
abdominal pain,stimulants,exists is same context,contextual proximity,3,#808080
ability to modulate reactivity,adhd,exists is same context,contextual proximity,5,#808080
abnormalities of chromosomes,adhd,"can also be the result of abnormalities of chromosomes,exists is same context",relation,9,#22dd22
abnormalities of chromosomes,adhd and many other psychiatric disorders,exists is same context,contextual proximity,2,#808080
abnormalities of chromosomes,high polygenic risk for adhd,exists is same context,contextual proximity,2,#808080
abnormalities of chromosomes,polygenic risk,exists is same context,contextual proximity,2,#808080
abstinence is not an absolute precondition to start treatment,adhd,exists is same context,contextual proximity,2,#808080
abstinence is not an absolute precondition to start treatment,drug treatment,exists is same context,contextual proximity,2,#808080
abstinence is not an absolute precondition to start treatment,stabilize substance use,but substance use must be stabilized,relation,4,#22dd22
abstinence is not an absolute precondition to start treatment,stimulants,exists is same context,contextual proximity,3,#808080
abstract problem solving,adhd,exists is same context,contextual proximity,32,#808080
abstract problem solving,basal ganglia,exists is same context,contextual proximity,3,#808080
abstract problem solving,focused attention,exists is same context,contextual proximity,2,#808080
abstract problem solving,inhibitory control,exists is same context,contextual proximity,2,#808080
abstract problem solving,adhd individuals,"show that people with often perform differently on tasks that measure mental processes,exists is same context",relation,12,#22dd22
abstract problem solving,sustained attention,exists is same context,contextual proximity,2,#808080
abstract problem solving,verbal memory,exists is same context,contextual proximity,2,#808080
abstract problem solving,working memory,"People with ADHD struggle with abstract problem solving and working memory, which means they have difficulty handling tasks that require holding and manipulating information in their mind.,exists is same context",relation,7,#22dd22
abuse,adhd,exists is same context,contextual proximity,10,#808080
abuse,diversion,exists is same context,contextual proximity,4,#808080
abuse,misuse,"Abuse and misuse are both included in nonmedical use,exists is same context",relation,9,#22dd22
abuse,nmu,exists is same context,contextual proximity,5,#808080
abuse,nmu of stimulants,exists is same context,contextual proximity,4,#808080
abuse liability,nortriptyline,exists is same context,contextual proximity,3,#808080
abuse liability,tricyclic antidepressant,exists is same context,contextual proximity,12,#808080
abuse of prescription drugs,amphetamine,exists is same context,contextual proximity,2,#808080
abuse of prescription drugs,"intentional, nontherapeutic use","is defined as intentional, nontherapeutic use,exists is same context",relation,6,#22dd22
abuse of prescription drugs,stimulants,exists is same context,contextual proximity,2,#808080
abuse,adhd,exists is same context,contextual proximity,7,#808080
abuse,alcohol,exists is same context,contextual proximity,2,#808080
abuse,amphetamine,exists is same context,contextual proximity,6,#808080
abuse,atomoxetine,exists is same context,contextual proximity,3,#808080
abuse,long -acting stimulants,exists is same context,contextual proximity,8,#808080
abuse,dexmethylphenidate,exists is same context,contextual proximity,5,#808080
abuse,norepinephrine reuptake inhibitors,exists is same context,contextual proximity,2,#808080
abuse,short-acting stimulants,exists is same context,contextual proximity,8,#808080
abuse,stimulants,exists is same context,contextual proximity,2,#808080
abuse,treatment ending early as the result of adverse events,exists is same context,contextual proximity,2,#808080
"abuse, misuse and diversion",amphetamine,exists is same context,contextual proximity,2,#808080
"abuse, misuse and diversion","intentional, nontherapeutic use",exists is same context,contextual proximity,2,#808080
"abuse, misuse and diversion",stimulants,exists is same context,contextual proximity,2,#808080
"abuse, misuse and diversion",adh d medications,exists is same context,contextual proximity,2,#808080
"abuse, misuse and diversion",asthma medications,exists is same context,contextual proximity,4,#808080
"abuse, misuse and diversion",multiple prescribers,exists is same context,contextual proximity,2,#808080
"abuse, misuse and diversion",prescriptions at multiple pharmacies,exists is same context,contextual proximity,2,#808080
"abuse, misuse and diversion",shopping behavior,exists is same context,contextual proximity,2,#808080
academic activity,adhd,exists is same context,contextual proximity,3,#808080
academic activity,adhd medication,exists is same context,contextual proximity,3,#808080
academic activity,stimulant use,exists is same context,contextual proximity,5,#808080
academic activity,weekends,some academic activity is often required on weekends,relation,4,#22dd22
academic difficulties,nmu of stimulants,lead to,relation,4,#22dd22
academic dishonesty,nmu of stimulants,exists is same context,contextual proximity,3,#808080
academic dishonesty,stimulants,exists is same context,contextual proximity,2,#808080
academic function,adhd,exists is same context,contextual proximity,3,#808080
academic function,adhd medication,exists is same context,contextual proximity,3,#808080
academic function,stimulant use,"pausing stimulants on weekends may be advised for academic focus,exists is same context",relation,9,#22dd22
academic integrity policies,adhd,exists is same context,contextual proximity,2,#808080
academic integrity policies,alcohol/drug use policies,examine the NMU of stimulants,relation,4,#22dd22
academic integrity policies,nmu (non-medical use),exists is same context,contextual proximity,3,#808080
academic integrity policies,nmu of stimulants,exists is same context,contextual proximity,3,#808080
academic integrity policies,stimulants,exists is same context,contextual proximity,2,#808080
academic motivations,students who reported nmu,were the most common motivations,relation,4,#22dd22
academic outcomes,adolescence,exists is same context,contextual proximity,6,#808080
academic outcomes,adhd,exists is same context,contextual proximity,25,#808080
academic outcomes,adolescence,exists is same context,contextual proximity,4,#808080
academic outcomes,adverse medical outcomes,exists is same context,contextual proximity,2,#808080
academic outcomes,amp abuse,exists is same context,contextual proximity,2,#808080
academic outcomes,basal ganglia,exists is same context,contextual proximity,3,#808080
academic outcomes,clinically significant effects,exists is same context,contextual proximity,2,#808080
academic outcomes,clinician,exists is same context,contextual proximity,3,#808080
academic outcomes,co-occurring disorders,exists is same context,contextual proximity,2,#808080
academic outcomes,college graduation,exists is same context,contextual proximity,2,#808080
academic outcomes,adult,exists is same context,contextual proximity,4,#808080
academic outcomes,adult,exists is same context,contextual proximity,2,#808080
academic outcomes,exposures,exists is same context,contextual proximity,2,#808080
academic outcomes,family or friends,exists is same context,contextual proximity,2,#808080
academic outcomes,disorders,exists is same context,contextual proximity,2,#808080
academic outcomes,inhibitory control,exists is same context,contextual proximity,2,#808080
academic outcomes,intravenous abusers,exists is same context,contextual proximity,2,#808080
academic outcomes,intravenous,exists is same context,contextual proximity,2,#808080
academic outcomes,longitudinal study,exists is same context,contextual proximity,2,#808080
academic outcomes,drug treatment,exists is same context,contextual proximity,2,#808080
academic outcomes,nasal abusers,exists is same context,contextual proximity,2,#808080
academic outcomes,nmu,exists is same context,contextual proximity,2,#808080
academic outcomes,nmu (non-medical use),exists is same context,contextual proximity,3,#808080
academic outcomes,nmu behavior,exists is same context,contextual proximity,2,#808080
academic outcomes,patient education,exists is same context,contextual proximity,3,#808080
academic outcomes,poison control calls,exists is same context,contextual proximity,2,#808080
academic outcomes,practitioner,exists is same context,contextual proximity,2,#808080
academic outcomes,practitioner,exists is same context,contextual proximity,2,#808080
academic outcomes,prevention strategies,exists is same context,contextual proximity,3,#808080
academic outcomes,rating scales,exists is same context,contextual proximity,2,#808080
academic outcomes,risk of dying,exists is same context,contextual proximity,4,#808080
academic outcomes,adverse effects,exists is same context,contextual proximity,2,#808080
academic outcomes,social interactions,are included in the detailed history gathered by the clinician,relation,4,#22dd22
academic outcomes,nmu of stimulants,exists is same context,contextual proximity,2,#808080
academic outcomes,treatment plan,exists is same context,contextual proximity,2,#808080
academic performance enhancement,adult,exists is same context,contextual proximity,2,#808080
academic performance enhancement,educational attainment,exists is same context,contextual proximity,2,#808080
academic performance enhancement,misuse and diversion of stimulant medications,exists is same context,contextual proximity,2,#808080
academic performance enhancement,non-medical use of prescribed stimulants,"Academic and occupational performance enhancement were the most commonly cited motivations for non-medical use of stimulants, but there is little evidence that academic performance is improved by non-medical use in individuals without ADHD.",relation,4,#22dd22
academic performance enhancement,non-medical use of prescribed stimulants,"Academic performance enhancement is a commonly cited motivation for nonmedical use of prescription stimulants.,exists is same context",relation,8,#22dd22
academic performance enhancement,psychotic events,exists is same context,contextual proximity,2,#808080
academic skills,accommodations,exists is same context,contextual proximity,2,#808080
academic skills,adhd,exists is same context,contextual proximity,14,#808080
academic skills,adhd individuals,"show that people with often perform differently on tasks that measure mental processes,exists is same context",relation,12,#22dd22
academic skills,symptoms,exists is same context,contextual proximity,2,#808080
academic difficulties,inattention symptoms,are often linked to inattentive symptoms of ADHD,relation,4,#22dd22
academic difficulties,symptoms,exists is same context,contextual proximity,2,#808080
accidental injuries,adhd,exists is same context,contextual proximity,6,#808080
accidental injuries,adhd medication,exists is same context,contextual proximity,8,#808080
accidental injuries,depression,exists is same context,contextual proximity,2,#808080
accidental injuries,drug treatment,exists is same context,contextual proximity,5,#808080
accidental injuries,sleep issues,exists is same context,contextual proximity,2,#808080
accidental injuries,substance abuse,exists is same context,contextual proximity,3,#808080
accidental injuries,substance abuse,exists is same context,contextual proximity,2,#808080
accidental injuries,attempted suicide,exists is same context,contextual proximity,3,#808080
accidental injuries,misuse,exists is same context,contextual proximity,3,#808080
accidental injuries,mortality,exists is same context,contextual proximity,3,#808080
accidental injuries,adverse effects,exists is same context,contextual proximity,7,#808080
accidental injuries,motor tics,exists is same context,contextual proximity,2,#808080
accidental physical injuries,adhd,exists is same context,contextual proximity,5,#808080
accidental physical injuries,bullying,exists is same context,contextual proximity,2,#808080
accidental physical injuries,burn injuries,exists is same context,contextual proximity,2,#808080
accidental poisoning,misuse,exists is same context,contextual proximity,3,#808080
accidental poisoning,mortality,exists is same context,contextual proximity,3,#808080
accidental poisoning,adverse effects,exists is same context,contextual proximity,7,#808080
accidental poisoning,motor tics,exists is same context,contextual proximity,2,#808080
accidents,adhd,exists is same context,contextual proximity,8,#808080
accidents,adhd impairments,exists is same context,contextual proximity,3,#808080
accidents,further reduce qol,can affect and emerge adverse medical outcomes,relation,4,#22dd22
accidents,long acting,exists is same context,contextual proximity,2,#808080
accidents,short acting,exists is same context,contextual proximity,2,#808080
accommodations,academic skills,exists is same context,contextual proximity,2,#808080
accommodations,adhd,exists is same context,contextual proximity,2,#808080
accommodations,americans with disabilities act,exists is same context,contextual proximity,2,#808080
accommodations,classroom-based programs,exists is same context,contextual proximity,2,#808080
accommodations,daily report card,exists is same context,contextual proximity,2,#808080
accommodations,disability,exists is same context,contextual proximity,2,#808080
accommodations,idea (pl-101-476),exists is same context,contextual proximity,2,#808080
accommodations,school-based interventions,exists is same context,contextual proximity,2,#808080
accommodations,section 504 of the rehabilitation act of 1973,exists is same context,contextual proximity,2,#808080
accommodations,symptoms,exists is same context,contextual proximity,4,#808080
accommodations,treatment plan,exists is same context,contextual proximity,2,#808080
accommodations for children with adhd,brand medication,exists is same context,contextual proximity,2,#808080
accommodations for children with adhd,generic medication,exists is same context,contextual proximity,2,#808080
accommodations for children with adhd,medications for children with adhd,exists is same context,contextual proximity,2,#808080
accommodations for children with adhd,motor tics,exists is same context,contextual proximity,2,#808080
accommodations for children with adhd,stimulants,exists is same context,contextual proximity,2,#808080
accurate diagnosis,adhd,exists is same context,contextual proximity,8,#808080
accurate diagnosis,thorough evaluation,exists is same context,contextual proximity,2,#808080
activated emotions,adhd child,exists is same context,contextual proximity,3,#808080
activated emotions,ei (emotional impulsivity),exists is same context,contextual proximity,3,#808080
activation of mania or hypomania,adverse effects,exists is same context,contextual proximity,9,#808080
activation of mania or hypomania,viloxazine,exists is same context,contextual proximity,6,#808080
active substance use disorder,adhd,"co-occurring condition,exists is same context",relation,16,#22dd22
active substance use disorder,adhd patients with co-occurring sud,exists is same context,contextual proximity,4,#808080
active substance use disorder,atomoxetine,exists is same context,contextual proximity,4,#808080
active substance use disorder,cocaine use disorder,exists is same context,contextual proximity,4,#808080
active substance use disorder,dextroamphetamine-amphetamine,exists is same context,contextual proximity,4,#808080
active substance use disorder,nicotine dependence,exists is same context,contextual proximity,4,#808080
active substance use disorder,opioid dependence,exists is same context,contextual proximity,4,#808080
active substance use disorder,viloxazine,exists is same context,contextual proximity,4,#808080
active substance use disorder (sud),adhd medication,"is often addressed prior to treating ADHD,exists is same context",relation,6,#22dd22
active substance use disorder (sud),tcas,exists is same context,contextual proximity,6,#808080
activities,drug treatment,"some adults may benefit from drug holidays on weekends or holidays for vocational, educational, or other activities,exists is same context",relation,6,#22dd22
"acupuncture, yoga, and ayurvedic therapies",adhd,exists is same context,contextual proximity,2,#808080
"acupuncture, yoga, and ayurvedic therapies",adhd symptoms or associated impairments,exists is same context,contextual proximity,2,#808080
acute co-administration of alcohol and stimulants,adhd medication,exists is same context,contextual proximity,2,#808080
acute co-administration of alcohol and stimulants,health consequences,has potential risks beyond additive behavioral effects,relation,4,#22dd22
acute co-administration of alcohol and stimulants,tcas,exists is same context,contextual proximity,6,#808080
acute mania,psychosis,are relative contraindications for stimulants,relation,4,#22dd22
acute mania,stimulant adverse effects,exists is same context,contextual proximity,2,#808080
acute mania,stimulants,exists is same context,contextual proximity,4,#808080
added sugar,adhd,exists is same context,contextual proximity,2,#808080
adderall,adhd,exists is same context,contextual proximity,4,#808080
adderall,amphetamine,exists is same context,contextual proximity,11,#808080
adderall,amphetamine,"is a medication of,exists is same context",relation,8,#22dd22
adderall,dose,"Adderall is available in different doses such as 5mg, 7.5mg, 10mg, 12.5mg, 15mg, 20mg, and 30mg.,exists is same context",relation,8,#22dd22
adderall,form,"Adderall has a form of tablets.,exists is same context",relation,8,#22dd22
adderall,form and doses,"The form is tablets, and the doses are 5mg, 7.5mg, 10mg, 12.5mg, 15mg, 20mg, 30mg.",relation,4,#22dd22
adderall,dexmethylphenidate,exists is same context,contextual proximity,4,#808080
adderall,usage,exists is same context,contextual proximity,4,#808080
adderall xr,bubblegum flavor,exists is same context,contextual proximity,2,#808080
adderall xr,children who have trouble swallowing pills,exists is same context,contextual proximity,2,#808080
adderall xr,evekeo,exists is same context,contextual proximity,2,#808080
adderall xr,morning,"is taken once a day in,exists is same context",relation,8,#22dd22
adderall xr,procentra,exists is same context,contextual proximity,4,#808080
adderall xr,dexmethylphenidate,exists is same context,contextual proximity,5,#808080
adderall xr,adhd symptoms,exists is same context,contextual proximity,2,#808080
