id,type,type_id
arterial disease,condition,3
artificial food color exclusion,concept,7
artificial food dyes,entity,4
asd,condition,3
asd and adhd,other,0
asian federation of adhd,organization,8
asian resource,organization,8
aspd,condition,3
assessment,documents,1
assessment and treatment response,concept,7
assets and strengths,concept,7
assignments,documents,1
association for behavior and cognitive therapies,organization,8
association for child and adolescent mental health,organization,8
asthma,condition,3
asthma medications,documents,1
asthmatic mothers,condition,3
astigmatism,documents,1
at all ages,concept,7
atomox etine,concept,7
atomoxetine,other,0
atomoxetine (atx),documents,1
atomoxetine dosing,concept,7
atomoxetine levels,concept,7
atomoxetine treatment for adhd,service,2
atopic dermatitis,documents,1
attempted suicide,condition,3
attention,condition,3
attention and arousal,concept,7
attention and cognitive control networks,other,0
attention and control,documents,1
attention and hyperactive behavior,concept,7
attention and impulsivity,condition,3
attention and perception,documents,1
attention and somatoform networks,other,0
attention and working memory tasks,concept,7
attention deficit disorder association (adda),organization,8
attention deficit hyperactivity disorder in children and adolescents: clinical features and diagnosis,other,0
attention-deﬁcit/hyperactivity disorder,condition,3
atx,service,2
atx or dex,concept,7
atx treatment,service,2
atypical antidepressants,concept,7
augmentation strategies,service,2
augusto vidal perera,person,6
australia,location,10
australian adhd professionals association,organization,8
australian professionals association,organization,8
authors,person,6
authors from 27 countries and 6 continents,other,0
autism,condition,3
autoimmune disease,condition,3
autoimmune thyroid disease,documents,1
availability of treatment,documents,1
aversive emotional states,concept,7
avoid caffeine,concept,7
avoid skipped doses,service,2
avoidance,other,0
bachelor's degree,concept,7
baia p2,entity,4
banaschewski t,person,6
barkley deficits in executive function scale,documents,1
barkley deﬁcits in executive functioning scale — children and adolescents (bdefs-ca),documents,1
"barkley r. taking charge of adhd, third edition: the complete, authoritative guide for parents",documents,1
basal ganglia,location,10
basal ganglia and insula,entity,4
become unusually quiet or appear over-focused,condition,3
becoming unnaturally quiet,condition,3
behavior,concept,7
behavior management,service,2
behavior management training,documents,1
behavior modification,service,2
behavior modification system,concept,7
behavior monitoring,concept,7
behavior problems,condition,3
behavior rating inventory of executive function (brief or emotion control subscale),documents,1
behavior therapy,service,2
behavior therapy principles,concept,7
behavioral and mental health assessment,service,2
behavioral changes,condition,3
behavioral disinhibition,concept,7
behavioral expression,other,0
behavioral functioning,other,0
behavioral indicators,concept,7
behavioral intervention,service,2
behavioral management techniques that are used for children with adhd,service,2
behavioral regulation index of the brief-a,concept,7
behavioral response system,other,0
behavioral responses,condition,3
behavioral responses and emotional responses,condition,3
behavioral therapist,person,6
behaviors that we now associate with adhd,condition,3
behavioural interventions,concept,7
benefits and risks of treatment,entity,4
benefits for adhd,concept,7
benzodiazepines,other,0
best practices,service,2
best studies,documents,1
better understand the nature and causes of emotional symptoms in adhd and whether these should be incorporated into diagnostic criteria,entity,4
biologic vulnerability,concept,7
biological and psychological causal mechanisms,concept,7
biological pathways,documents,1
biological test,documents,1
bipolar disorder,condition,3
black and latin minority youth,person,6
black individuals,person,6
black patients with adhd,person,6
blood lead levels,documents,1
blood monitoring,concept,7
blood pressure,entity,4
blood pressure and pulse quarterly,condition,3
blood pressure monitoring,concept,7
blood tests,service,2
blurred vision or other visual changes,condition,3
body mass index,documents,1
bolea-alamanac et al.,other,0
bone fractures,documents,1
borderline personality disorder,condition,3
boundaries between adhd and other disorders,other,0
boys,other,0
boys and girls,concept,7
boys born to women who lost a close relative during pregnancy,entity,4
boys with adhd,person,6
brain,concept,7
brain areas involved in cognition,documents,1
brain cells communication,concept,7
brain development,condition,3
brain differences,concept,7
brain functioning,entity,4
brain imaging,service,2
brain imaging studies,service,2
brain networks and cognitive processes,concept,7
brain structure and function,entity,4
brain volumes,other,0
brain-specific neuronal subtypes,documents,1
brains of people with adhd,entity,4
brainstorming session,service,2
brand medication,entity,4
breastfeeding women,person,6
brief behavioral sleep intervention,service,2
broad-spectrum micronutrient supplements,documents,1
broader scope of the review,service,2
"brown add rating scales for children, adolescents and adults (badds)",documents,1
bubblegum flavor,concept,7
bullying,service,2
bupropion,documents,1
"bupropion (wellbutrin, zyban)",documents,1
bupropion extended-release,documents,1
burn injuries,condition,3
caddra,organization,8
caffeine levels,condition,3
calendar year,date,5
callous emotional traits,condition,3
cam therapies,concept,7
canadian adhd resource alliance,organization,8
candidate qms,concept,7
cannabis abuse or dependence,condition,3
cannabis use,service,2
cannabis use disorder,condition,3
capsules,documents,1
cardiac arrest,condition,3
cardiac events,other,0
cardiac history or cardiac symptoms,entity,4
cardiac malformations,condition,3
cardiac review,concept,7
cardiologist consultation,concept,7
cardiometabolic disease,condition,3
cardiotoxicity,condition,3
cardiovascular disease diagnosis,concept,7
cardiovascular effects,condition,3
cardiovascular health,concept,7
cardiovascular history,entity,4
cardiovascular monitoring,service,2
care,service,2
care coordination,concept,7
care coordination and the patient experience domains,concept,7
care management plan,entity,4
careful dose titration required,service,2
"careful monitoring of medication, safe storage, education around stimulant misuse, along with the use of extended release stimulants",service,2
caregiver,person,6
caregiver decision,other,0
caregivers of children age 6 to 12 years,person,6
catapres,service,2
category,concept,7
cause of adhd,other,0
causes,documents,1
cbcl-dysregulation profile,documents,1
cbt,concept,7
cbt alone,concept,7
cbt and dbt program,service,2
cbt group and individual therapy programs,service,2
cbt group treatment,documents,1
cbt methods for emotional dysregulation issues,concept,7
cd,condition,3
celiac disease,condition,3
centers for disease control and prevention (cdc),organization,8
centers for disease control and prevention (cdc) adhd,organization,8
central nervous system effects,condition,3
central nervous system injury,condition,3
cereals,documents,1
cerebellar white matter,concept,7
cerebellum,entity,4
cerebrovascular disease,condition,3
certain areas,location,10
certain birth defects,concept,7
certain children,entity,4
certain ethnicities,person,6
certain events,concept,7
certain foci in the literature may have been missed,condition,3
chadd,organization,8
chadd hall of fame,organization,8
chadd website,documents,1
chancellors award for excellence in scholarship and creative activities from the state university of new york,other,0
changing antecedent behavior and reinforcement,concept,7
changing the drug,service,2
characterization of ei/desr in adhd,concept,7
charles bradley,person,6
checklists,documents,1
chelation,concept,7
chelation therapy,service,2
chemical messengers (norepinephrine),concept,7
chemicals,other,0
chest pain,condition,3
child and adolescent mental health,concept,7
child and adolescent psychiatrist,person,6
child behavior checklist,documents,1
child behavior checklist –dysregulation proﬁle (cbcl-dp),documents,1
child development,concept,7
child emotionality,condition,3
child psychiatry,concept,7
child psychologist,person,6
child's developmental stage,concept,7
child's doctor,person,6
child's health,concept,7
child's height,concept,7
child's practitioner,person,6
child's weight,concept,7
childhood adhd,condition,3
childhood diagnosis of adhd,concept,7
childhood exposure to secondhand cigarette smoke,entity,4
childhood irritability,concept,7
childhood or early adolescence,date,5
"children (7 studies, 1930 participants)",date,5
children and adolescents who do not respond to stimulants,person,6
children and adolescents who have adhd plus other mental health conditions,person,6
children and adolescents with adhd,person,6
children and adults with attention-deficit/ hyperactivity disorder (chadd),organization,8
children and youth with special health care needs,entity,4
children in intervention group,entity,4
children of teenage mothers,documents,1
children who experienced sexual abuse or physical neglect,entity,4
children who grow up in difficult family situations,entity,4
children who had a specific type of viral infection (enterovirus),entity,4
children who have not yet entered elementary school,entity,4
children who have trouble swallowing pills,person,6
children who showed the symptoms and impairments we now recognize as adhd,condition,3
children whose mothers were severely obese,entity,4
children with adhd and smd,entity,4
children with high iq,entity,4
children with low lead levels,other,0
children with many adhd symptoms,documents,1
children without adhd,organization,8
child’s behavior,concept,7
china adhd alliance,organization,8
chinese society of child and adolescent psychiatry,organization,8
cholinesterase inhibitors,service,2
chrna7,other,0
chronic condition management,other,0
cigarette smoking,condition,3
cigarettes smoked per day,concept,7
cingulate region,location,10
classroom,location,10
classroom modifications,concept,7
classroom modifications and accommodations,documents,1
classroom-based programs,service,2
clinical and research experts,person,6
clinical assessment,service,2
clinical experience,concept,7
clinical features,documents,1
clinical global impression ratings,concept,7
clinical guidelines,concept,7
clinical practice,concept,7
clinical prescriber with training in adhd diagnosis and management,person,6
clinical reports from european countries,location,10
clinical research,other,0
clinical response,entity,4
"clinical response, duration of the effect during the day, and side effects",entity,4
clinical subgroups,concept,7
clinically significant effects,condition,3
clinician,person,6
clinician interview,service,2
clonidine,concept,7
clonidine er,concept,7
clonidine extended-release,documents,1
close friends,person,6
close monitoring,service,2
close monitoring by healthcare provider,service,2
cnvs,documents,1
cnvs in the 1q21.1 region,concept,7
cnvs in the 6q26 region,concept,7
co-contraindication for stimulant prescription,concept,7
co-occurring disorders,condition,3
coaching options,service,2
coalition to prevent adhd medication misuse,concept,7
cocaine,condition,3
cocaine or methamphetamine use,concept,7
cocaine use disorder,condition,3
coexisting condition,condition,3
coexisting conditions that are associated with adhd or mimic its symptoms,condition,3
coexisting mental health disorders,condition,3
cognition,concept,7
cognitive behavior therapy,service,2
cognitive behavior therapy modules,concept,7
cognitive components of executive control,concept,7
cognitive domains,concept,7
cognitive enhancement,concept,7
cognitive errors,condition,3
cognitive flexibility,concept,7
cognitive function,concept,7
cognitive psychotherapy or individual counseling plus mph treatment,service,2
cognitive strengths and weaknesses,concept,7
cognitive training,service,2
cohort studies,service,2
collateral report,documents,1
colleagues,organization,8
college administrators,person,6
college completion,documents,1
college graduation,condition,3
college peers,organization,8
collegiate student leaders,person,6
com-ponents of emotional symptoms,other,0
combination therapies,concept,7
combinations of social disadvantages,concept,7
combined medication and behavior treatment,concept,7
combined subtype,other,0
combined treatment,concept,7
combined treatment with medication and cbt,documents,1
common adverse effects,documents,1
common misconceptions,concept,7
communication between caregivers and teachers,concept,7
communication with other health care providers occurs at least annually,concept,7
community controls,person,6
community psychosocial care,service,2
community support,service,2
comorbid anxiety,condition,3
comorbid anxiety or tics,condition,3
comorbid condition,documents,1
comorbid psychiatric conditions,condition,3
comorbidities aggravate these outcomes,documents,1
complete specificity,concept,7
completed suicide,condition,3
completion of no more than compulsory education,condition,3
complex cases,concept,7
complex psychosocial circumstances,other,0
comprehensive approach to literature on nmu,concept,7
comprehensive list of free adhd assessment tools,documents,1
computer-based cognitive training,concept,7
computer-based training,service,2
concerns,concept,7
concerns being discussed,other,0
concerta,documents,1
condition,other,0
conduct disorder,condition,3
conduct disorder (cd),condition,3
conduct problems,condition,3
confirmation of impairment in 2+ settings,concept,7
confounders,documents,1
conners global index (cgi) emotional lability scale,documents,1
consensus statement,documents,1
consistent nomenclature,concept,7
consistent set of causes for the disorder,concept,7
consistent sleep schedule,concept,7
constipation,condition,3
consult with healthcare provider,service,2
consult with the healthcare provider for further advice,other,0
consultation,service,2
contents,concept,7
contraindications to drug treatment,entity,4
controls,person,6
cooperating,service,2
coping skills for managing anger,concept,7
coping strategies,concept,7
core disorder in adhd,concept,7
core symptoms,condition,3
core symptoms of adhd,condition,3
coronary artery disease,condition,3
correct dose,concept,7
correct dose of the stimulant medication,documents,1
cortical surface area,concept,7
cortical thickness,concept,7
corticocerebellar networks,other,0
counseling,service,2
cousins,person,6
covert smile,condition,3
cpamm,organization,8
crash risk,concept,7
crashes,concept,7
crime,condition,3
crime rates,concept,7
criminal activity,condition,3
criminal offenses,concept,7
criminal records,condition,3
criminality,other,0
criteria,entity,4
critical care unit,location,10
crunelle et al.,other,0
crushing,service,2
cultural context,location,10
culture,concept,7
curative treatments for adhd,concept,7
current adhd symptoms,condition,3
d-amphetamine sulfate,entity,4
daily functioning,concept,7
daily life,concept,7
daily report card,documents,1
daily timing,concept,7
daily use of medication recommended,concept,7
danish national register longitudinal cohort study,service,2
danish national registers,documents,1
danish population,location,10
danish study,documents,1
dat1,entity,4
dawn data,documents,1
daytrana,service,2
de graaf et al.,documents,1
dealer/stranger,organization,8
death by homicide,concept,7
death from natural causes,concept,7
decision-making,concept,7
decongestants,concept,7
decrease,service,2
decreased appetite,condition,3
decreased libido,other,0
decreases in appetite,condition,3
default-mode network (dmn),other,0
deficits,condition,3
definition of nmu,concept,7
definition used,other,0
delayed onset of sleep,condition,3
delayed reinforcement,concept,7
deliberate self-poisoning,condition,3
delivery of quality health care to adults with adhd,condition,3
dementia,entity,4
demontis et al.,person,6
"denmark, finland, sweden, norway, and iceland",location,10
"departments of psychiatry and pediatrics, university of pennsylvania perelman school of medicine, philadelphia, pa",organization,8
"departments of psychiatry, neuroscience and physiology, suny upstate medical university, syracuse, ny",organization,8
depression,entity,4
deprivation,condition,3
dermatitis,other,0
desire to be more productive,entity,4
desire to enhance academic or work performance,entity,4
desr,concept,7
desr (deficits in emotional self-regulation),concept,7
desr (delayed emotional return),concept,7
detect nmu,other,0
detectable levels of dmap metabolite,documents,1
determine if and how mild or sub-threshold cases of adhd should be diagnosed and treated,entity,4
development of qms,concept,7
development or worsening of motor or vocal tics,condition,3
developmental behavioral pediatrician,person,6
developmental disability–children’s global assessment scale,documents,1
developmental history,concept,7
dex,concept,7
dexedrine,documents,1
dexedrine spansule,other,0
dexmethylphenidate,concept,7
dextro amphetamine,concept,7
dextroamphetamine-amphetamine,documents,1
deﬁcient emotional self-regulation (desr),concept,7
deﬁcits in response inhibition to frustration,concept,7
diabetes mellitus,condition,3
diagnoses,documents,1
diagnosing the disorder,service,2
diagnosis of apparent adult-onset adhd,concept,7
diagnostic challenges,concept,7
diagnostic criteria,concept,7
diagnostic delays,concept,7
diagnostic guidelines,concept,7
diagnostic nomenclature,documents,1
diagnostic utility for adhd,other,0
dietary approach to stop hypertension,concept,7
dietary interventions,service,2
dietary interventions for adhd,documents,1
dietary restrictions,concept,7
diets,documents,1
differ between children and adults,documents,1
differences between groups of people who are and are not diagnosed with adhd,condition,3
different terms used to describe them,other,0
difficult life circumstances,condition,3
difficulty breathing,entity,4
difficulty handling tasks,concept,7
difficulty in falling asleep,concept,7
difficulty sustaining attention,condition,3
difﬁculties in emotion regulation scale (ders),documents,1
digital health interventions (dhis),service,2
digital interventions,concept,7
digital therapies,concept,7
direct skills training,concept,7
disability,condition,3
disability service options,service,2
disability services,service,2
discontinuation,documents,1
discontinuation due to adverse event,condition,3
discontinuing medication,condition,3
discuss with the healthcare provider about adjusting or switching medications if tics become problematic,service,2
discussions,service,2
discussions of transfer of care with new clinician made,documents,1
disinhibited emotionally expressive behavior,other,0
disorder,concept,7
disorders,concept,7
disruptive behavior disorders,condition,3
disruptive behaviours,condition,3
disruptive mood dysregulation disorder,other,0
distinguished profe ssor,concept,7
distress,condition,3
distress tolerance,concept,7
"distress tolerance (simons & gaher, 2005) scale",documents,1
distress tolerance scale,documents,1
diurnal variation in symptoms,condition,3
diversion,concept,7
diversion could be fatal when diverted to a person who is medically at risk,condition,3
diversion of medications is a felony,condition,3
diversion or nmu,concept,7
diverting one’s attention,concept,7
dizziness,condition,3
dizziness and lightheadedness,condition,3
dlpfc,location,10
dmdd,documents,1
dmn,other,0
"dna from over 20,000 people with adhd and over 35,000 without adhd",other,0
doctor,person,6
document,documents,1
documentation,documents,1
documentation of impairment,service,2
documented dsm-5 diagnosis of adhd,documents,1
does not seem to listen,condition,3
domains,concept,7
dopamine,other,0
dopamine levels in synapses,concept,7
dopamine regulation,concept,7
dopaminergic system,documents,1
dorsal anterior cingulate cortex,entity,4
dorsolateral prefrontal cortex,entity,4
dose,concept,7
dose reduction,concept,7
doshi et al.,documents,1
dosing,concept,7
"double-blind, placebo-controlled trials",concept,7
draft list of 46 qms,documents,1
drd4,entity,4
driver license suspensions,service,2
driver's license,service,2
driving and work performance,concept,7
driving licenses suspension/revocation,condition,3
driving performance improvement,concept,7
drowsiness,condition,3
"drowsiness, fatigue and sedation",condition,3
drug contract or conducting periodic drug screens,service,2
drug holidays,concept,7
drug treatment,service,2
drug treatment initiation,concept,7
drug treatment resistant patients,person,6
dry mouth,condition,3
"dry mouth, nausea, stomach pain and constipation",condition,3
dsm and icd criteria,documents,1
dsm criteria,entity,4
dsm-5,documents,1
dsm-5 diagnosis,concept,7
dsm-5 symptom criteria,documents,1
dsm-5’s dmdd,condition,3
duration,condition,3
duration of action,concept,7
duration of response,concept,7
duration of treatment,concept,7
dusp6,other,0
dyanavel xr,other,0
dysfunctional cognitive beliefs,documents,1
dyspepsia,condition,3
dysphoria,condition,3
dysregulation,concept,7
désiré-magloire bourneville,person,6
"désiré-magloire bourneville, charles boulanger, georges paul-boncour, and jean philippe",organization,8
early and long-term treatment,concept,7
earnings reduction,concept,7
eating foods high in added sugar,concept,7
ecg,documents,1
editorial support,service,2
education,entity,4
education on side effects,service,2
education planning,documents,1
education system,organization,8
educational and occupational failure,documents,1
educational attainment,concept,7
educational underachievement,condition,3
eeg neurofeedback,concept,7
eeg variability,concept,7
effect,concept,7
effect size findings,condition,3
effective self-regulation,concept,7
efficacy,concept,7
efficacy in treating adhd,concept,7
effortful strategy,other,0
ei,concept,7
ei (emotional impulsivity),concept,7
ei (emotional intelligence),concept,7
ei and desr,concept,7
el,condition,3
electrical stimulation,concept,7
electrocardiogram (ecg),concept,7
electrophysiology,service,2
elevated blood pressure (hypertension),condition,3
elevated mood,condition,3
elevation of blood pressure or heart rate,condition,3
elevations in the theta/beta on the electroencephalogram,condition,3
elimination diets,concept,7
embryogenesis,concept,7
emergence of psychosis or mania,other,0
emergency room visits,documents,1
emergent health conditions,condition,3
emerging problems,concept,7
emotion,concept,7
emotion dysregulation,concept,7
"emotion dysregulation scale, short version (eds-short)",documents,1
emotion generation,concept,7
emotion processing,concept,7
emotion regulation,concept,7
emotion regulation checklist (erc),documents,1
emotion regulation index for adults and children (erica),documents,1
emotion regulation questionnaire (erq),documents,1
emotional and behavioral trajectories,concept,7
emotional and social impairment,condition,3
emotional arousal,other,0
emotional control impairment,condition,3
emotional control scores,concept,7
emotional control subscale,concept,7
emotional dysregulation scores,condition,3
emotional dysregulation symptoms,condition,3
emotional excitability/impatience,concept,7
emotional experience,concept,7
emotional experience and behavior dyssynchrony,condition,3
emotional factors,concept,7
emotional functioning,concept,7
emotional instability,concept,7
emotional intensity (ei),concept,7
emotional lability,concept,7
emotional lability t-scores on conners rating scales –revised (crs-r),documents,1
emotional problems,condition,3
emotional reactivity,concept,7
emotional self-regulation in adhd,concept,7
emotional state,other,0
emotional symptoms,concept,7
emotional upsets,concept,7
emotional valence,concept,7
emotionally evocative situations,condition,3
emotionally intense provocation,concept,7
emotionally reactive behavior,condition,3
emotionregulation,concept,7
empirically supported statements,documents,1
employed,condition,3
employment,concept,7
employment reduction,concept,7
employment status jobs,concept,7
encourage good sleep habits,other,0
enforcement,condition,3
enigma-adhd working group set of cohort from around the world,organization,8
enterovirus patients,entity,4
environment,concept,7
environmental causes,concept,7
environmental correlates,concept,7
environmental correlates of adhd,concept,7
environmental factors,concept,7
environmental risks,condition,3
environmental toxicants,condition,3
epidemic levels,condition,3
epidemiologic studies,documents,1
epilepsy,condition,3
episodic emotional dysregulation,concept,7
erectile dysfunction,other,0
especially in children,location,10
essential fatty acid supplementation,service,2
ethnicity,person,6
eunethydis,organization,8
euphoria,condition,3
europe,location,10
european ancestry,location,10
european network adult adhd,organization,8
european network for hyper kinetic disorders (eunethydis),organization,8
euthymic baseline,documents,1
evaluate care-giver burden in children,documents,1
evaluate family-related qol and activities of daily living in children,documents,1
evaluate overall functioning in children,documents,1
evaluation,entity,4
evekeo,documents,1
evening,condition,3
evidence,documents,1
evidence-based assertions,documents,1
evidence-based behavioral interventions,concept,7
evidence-based conclusions,concept,7
evidence-based statements about adhd,documents,1
evidenced based fda approved medication,documents,1
evidenced-based internet resources,documents,1
exacerbation,condition,3
exaggerated delay discounting,concept,7
excessive substance use,concept,7
excessive tiredness,other,0
excessive weight loss,condition,3
"excluded meta-analyses that did not assess publication bias, except for prevalence",other,0
exclusion criteria,service,2
exclusion of food colour additives and preservatives,documents,1
executive control,concept,7
