source,target,edge,edge_type,value,color
3 skill sets,educational success,exists is same context,contextual proximity,2,#808080
30-year follow-up study,attention-deficit/hyperactivity disorder (adhd),exists is same context,contextual proximity,2,#808080
30-year follow-up study,hyperactivity disorder,exists is same context,contextual proximity,2,#808080
30-year follow-up study,restriction diet,exists is same context,contextual proximity,2,#808080
30-year follow-up study,synthetic food color additives,exists is same context,contextual proximity,2,#808080
30–60 minutes after taking the stimulant,stimulant medication,exists is same context,contextual proximity,5,#808080
310–319,lancet psychiatry,"pages,exists is same context",relation,6,#22dd22
36-item short form health survey,adhd,exists is same context,contextual proximity,5,#808080
36-item short form health survey,medication use,exists is same context,contextual proximity,2,#808080
36-item short form health survey,qol,exists is same context,contextual proximity,2,#808080
36-item short form health survey,quality of life enjoyment and satisfaction questionnaire,general QoL measures for adults,relation,4,#22dd22
4,lancet psychiatry,exists is same context,contextual proximity,2,#808080
4 hours after the medication is taken,stimulant medication,exists is same context,contextual proximity,5,#808080
5000 adults,adhd,"Over 5000 adults with a diagnosis of ADHD in adulthood who had not received a diagnosis in childhood were identified.,exists is same context",relation,14,#22dd22
8 to 12 percent of pediatric patients,atomoxetine,exists is same context,contextual proximity,4,#808080
8 to 12 percent of pediatric patients,blood pressure,exists is same context,contextual proximity,2,#808080
8 to 12 percent of pediatric patients,heart rate,exists is same context,contextual proximity,2,#808080
973program,j. atten. disord.,exists is same context,contextual proximity,2,#808080
973program,major state basic research development program of china,is part of,relation,4,#22dd22
973program,y.w.,exists is same context,contextual proximity,3,#808080
a death in the family,higher risk of adhd in offspring,exists is same context,contextual proximity,3,#808080
a death in the family,residential instability,exists is same context,contextual proximity,3,#808080
a death in the family,rutter’s indicators of adversity,exists is same context,contextual proximity,7,#808080
a death in the family,subsequent likelihood of adhd,increased by 60 %,relation,4,#22dd22
a neural model of voluntary and automatic emotion regulation: implications for understanding the pathophysiology and neurodevelopment of bipolar disorder,attention deficit hyperactivity disorder,exists is same context,contextual proximity,2,#808080
a-2 adrenergic agonists,emotion regulation,the a-2 adrenergic agonists have effects on emotion regulation,relation,4,#22dd22
a. christakou,f.x. castellanos,exists is same context,contextual proximity,3,#808080
a. christakou,m. cercignani,exists is same context,contextual proximity,2,#808080
a. christakou,r. calvo,exists is same context,contextual proximity,2,#808080
a. conzelmann,f.x. castellanos,exists is same context,contextual proximity,3,#808080
a. conzelmann,m. cercignani,exists is same context,contextual proximity,2,#808080
a. conzelmann,r. calvo,exists is same context,contextual proximity,2,#808080
a. di martino,f.x. castellanos,exists is same context,contextual proximity,3,#808080
a. di martino,i. dinstein,Co-author,relation,4,#22dd22
a. di martino,m. cercignani,exists is same context,contextual proximity,2,#808080
a. di martino,r. calvo,exists is same context,contextual proximity,2,#808080
a.c.c.,advisors to arbor pharmaceuticals,exists is same context,contextual proximity,2,#808080
a.c.c.,emotional symptoms,exists is same context,contextual proximity,2,#808080
a.c.c.,research supporter and consultant for arbor pharmaceuticals,A.C.C. has been a research supporter and consultant for Arbor Pharmaceuticals,relation,4,#22dd22
a.e. doyle,f.x. castellanos,exists is same context,contextual proximity,3,#808080
a.e. doyle,m. cercignani,exists is same context,contextual proximity,2,#808080
a.e. doyle,r. calvo,exists is same context,contextual proximity,2,#808080
a.e. doyle,s. durston,Co-author,relation,4,#22dd22
a.i. cubillo,a.m. dale,Co-author,relation,4,#22dd22
a.i. cubillo,f.x. castellanos,exists is same context,contextual proximity,3,#808080
a.i. cubillo,m. cercignani,exists is same context,contextual proximity,2,#808080
a.i. cubillo,r. calvo,exists is same context,contextual proximity,2,#808080
a.j. fallgatter,f.x. castellanos,exists is same context,contextual proximity,3,#808080
a.j. fallgatter,m. cercignani,exists is same context,contextual proximity,2,#808080
a.j. fallgatter,r. calvo,exists is same context,contextual proximity,2,#808080
a.l.r.,advisors to arbor pharmaceuticals,"A.L.R. has been an advisor to Arbor Pharmaceuticals,exists is same context",relation,6,#22dd22
a.l.r.,akili interactive labs,exists is same context,contextual proximity,2,#808080
a.l.r.,arbor pharmaceuticals,"advisor to,exists is same context",relation,6,#22dd22
a.l.r.,b.b.,exists is same context,contextual proximity,3,#808080
a.l.r.,emotional symptoms,exists is same context,contextual proximity,2,#808080
a.l.r.,j.b.,exists is same context,contextual proximity,2,#808080
a.l.r.,s.v.f.,exists is same context,contextual proximity,15,#808080
a.l.r.,stephen v. faraone,exists is same context,contextual proximity,2,#808080
a.m. dale,f.x. castellanos,exists is same context,contextual proximity,3,#808080
a.m. dale,m. cercignani,exists is same context,contextual proximity,2,#808080
a.m. dale,r. calvo,exists is same context,contextual proximity,2,#808080
a.p.,bap,exists is same context,contextual proximity,13,#808080
a.p.,boehringer,"received travel grants,exists is same context",relation,17,#22dd22
a.p.,c.a.h.,exists is same context,contextual proximity,8,#808080
a.p.,c.h.,exists is same context,contextual proximity,8,#808080
a.p.,corium,exists is same context,contextual proximity,13,#808080
a.p.,elsevier,"receives royalties from books published,exists is same context",relation,17,#22dd22
a.p.,european adhd guideline group (eagg),exists is same context,contextual proximity,13,#808080
a.p.,european research executive agency grant 101095568-horizonhlth-2022-disease-07-03,exists is same context,contextual proximity,4,#808080
a.p.,european union’s horizon 2020 research and innovation programme (grant agreement 945151),"supported by,exists is same context",relation,8,#22dd22
a.p.,european union’s horizon 2020 research and innovation programme (grant agreement 965381),exists is same context,contextual proximity,4,#808080
a.p.,g.k.,exists is same context,contextual proximity,39,#808080
a.p.,german research foundation grant ph 177/7-1,"supported by,exists is same context",relation,8,#22dd22
a.p.,hippo t&c,exists is same context,contextual proximity,13,#808080
a.p.,hogrefe,"receives royalties from books published,exists is same context",relation,17,#22dd22
a.p.,ironshore,exists is same context,contextual proximity,13,#808080
a.p.,j.h.n.,exists is same context,contextual proximity,125,#808080
a.p.,janssen-cilag,"received travel grants,exists is same context",relation,17,#22dd22
a.p.,karger,"receives royalties from books published,exists is same context",relation,17,#22dd22
a.p.,"kochi city hall, kochi, japan","worked at,exists is same context",relation,30,#22dd22
a.p.,kohlhammer,"receives royalties from books published,exists is same context",relation,17,#22dd22
a.p.,lumos,exists is same context,contextual proximity,13,#808080
a.p.,medice,exists is same context,contextual proximity,13,#808080
a.p.,"medice arzneimittel, pütter gmbh and co kg","served on advisory boards,exists is same context",relation,17,#22dd22
a.p.,mindtension,exists is same context,contextual proximity,13,#808080
a.p.,ministry of culture and science of the state of north rhine-westphalia grant ibehave,"supported by,exists is same context",relation,8,#22dd22
a.p.,ministry of research and education grants 01nvf20004,"supported by,exists is same context",relation,8,#22dd22
a.p.,mwv,"receives royalties from books published,exists is same context",relation,17,#22dd22
a.p.,national institute of child health and human development grant r01 hd093612,exists is same context,contextual proximity,4,#808080
a.p.,national institute on drug abuse grant r21 da054281,exists is same context,contextual proximity,4,#808080
a.p.,nihr grants mic-2016-003 and nihr203310,exists is same context,contextual proximity,4,#808080
a.p.,"nihr grants nihr203684, nihr203035, nihr130077, nihr128472 and rp-pg-0618-20003",exists is same context,contextual proximity,4,#808080
a.p.,nihr research professor,exists is same context,contextual proximity,4,#808080
a.p.,ondosis,exists is same context,contextual proximity,13,#808080
a.p.,otsuka,exists is same context,contextual proximity,13,#808080
a.p.,"otsuka pharmaceutical co., ltd., tokyo, japan",exists is same context,contextual proximity,13,#808080
a.p.,"otsuka, tokyo, japan",exists is same context,contextual proximity,13,#808080
a.p.,oxford university press,"receives royalties from books published,exists is same context",relation,17,#22dd22
a.p.,s.c.,exists is same context,contextual proximity,12,#808080
a.p.,springer nature,"author,exists is same context",relation,17,#22dd22
a.p.,t.s.,exists is same context,contextual proximity,26,#808080
a.p.,takeda,"gave lectures, performed phase III studies, received travel grants,exists is same context",relation,17,#22dd22
a.p.,thieme,"receives royalties from books published,exists is same context",relation,17,#22dd22
a.p.,"tokyo metropolitan university graduate school of public health, tokyo, japan",exists is same context,contextual proximity,26,#808080
a.p.,ukri medical research council grant mr/t046864/1,exists is same context,contextual proximity,4,#808080
a.p.,us national football league,exists is same context,contextual proximity,13,#808080
a.p.,zonmw grants 636340003 and 636340002,exists is same context,contextual proximity,4,#808080
a.s.p.,a.y.m.,exists is same context,contextual proximity,2,#808080
a.s.p.,d.p.o.,exists is same context,contextual proximity,4,#808080
a.s.p.,g.v.p.,exists is same context,contextual proximity,5,#808080
a.s.p.,medice,exists is same context,contextual proximity,2,#808080
a.s.p.,shire/takeda,has received personal fees and non-financial support,relation,4,#22dd22
a.t.,alkermes pharmaceuticals,exists is same context,contextual proximity,4,#808080
a.t.,angelini,exists is same context,contextual proximity,4,#808080
a.t.,b.v.,exists is same context,contextual proximity,16,#808080
a.t.,beltz,exists is same context,contextual proximity,4,#808080
a.t.,d&a pharma,exists is same context,contextual proximity,4,#808080
a.t.,esrc,"Received research funding from the organization,exists is same context",relation,8,#22dd22
a.t.,h.c.s.,exists is same context,contextual proximity,4,#808080
a.t.,indivior,exists is same context,contextual proximity,4,#808080
a.t.,j.m.s.,exists is same context,contextual proximity,4,#808080
a.t.,kohlhammer,exists is same context,contextual proximity,4,#808080
a.t.,lundbeck,exists is same context,contextual proximity,4,#808080
a.t.,medice,exists is same context,contextual proximity,16,#808080
a.t.,mrc,"Received research funding from the organization,exists is same context",relation,8,#22dd22
a.t.,novartis,exists is same context,contextual proximity,4,#808080
a.t.,opiant,exists is same context,contextual proximity,4,#808080
a.t.,rubio,exists is same context,contextual proximity,4,#808080
a.t.,s.w.,exists is same context,contextual proximity,16,#808080
a.t.,springer,exists is same context,contextual proximity,4,#808080
a.t.,takeda,exists is same context,contextual proximity,4,#808080
a.t.,thieme hogrefe,exists is same context,contextual proximity,4,#808080
a.t.,w.v.b,exists is same context,contextual proximity,20,#808080
a.t.,waterloo foundation,"Received research funding from the organization,exists is same context",relation,8,#22dd22
a.t.,wellcome trust,"Received research funding from the organization,exists is same context",relation,8,#22dd22
a.v won,h feng,exists is same context,contextual proximity,2,#808080
a.v won,lee,exists is same context,contextual proximity,4,#808080
a.v won,tucker-drob,exists is same context,contextual proximity,2,#808080
a.v won,won,exists is same context,contextual proximity,2,#808080
a.v won,zhu,exists is same context,contextual proximity,2,#808080
a.y.m.,a.s.p.,exists is same context,contextual proximity,2,#808080
a.y.m.,ach’e,exists is same context,contextual proximity,2,#808080
a.y.m.,b.s.g.m.,exists is same context,contextual proximity,2,#808080
a.y.m.,d.p.o.,exists is same context,contextual proximity,8,#808080
a.y.m.,editora manole,exists is same context,contextual proximity,2,#808080
a.y.m.,g.v.p.,exists is same context,contextual proximity,10,#808080
a.y.m.,institute of education sciences,exists is same context,contextual proximity,2,#808080
a.y.m.,j.t.n.,exists is same context,contextual proximity,2,#808080
a.y.m.,janssen,exists is same context,contextual proximity,2,#808080
a.y.m.,medice,exists is same context,contextual proximity,4,#808080
a.y.m.,michael smith foundation for health research,"has received funding,exists is same context",relation,6,#22dd22
a.y.m.,national institute of mental health,exists is same context,contextual proximity,2,#808080
a.y.m.,national institutes of health,exists is same context,contextual proximity,2,#808080
a.y.m.,novo nordisk,exists is same context,contextual proximity,2,#808080
a.y.m.,otsuka,exists is same context,contextual proximity,2,#808080
a.y.m.,s.m.,exists is same context,contextual proximity,2,#808080
a.y.m.,shire,exists is same context,contextual proximity,2,#808080
a.y.m.,shire/takeda,exists is same context,contextual proximity,2,#808080
a.y.m.,social sciences and humanities research council of canada,"has received funding,exists is same context",relation,6,#22dd22
a.y.m.,takeda,exists is same context,contextual proximity,2,#808080
aaqol,adhd,exists is same context,contextual proximity,4,#808080
aaqol,asrs-5,exists is same context,contextual proximity,2,#808080
aaqol,difficulties,quality-of-life scale covering difficulties resulting from ADHD,relation,4,#22dd22
aaqol,symptoms,exists is same context,contextual proximity,5,#808080
aaqol,wurs,exists is same context,contextual proximity,2,#808080
"aardvark, aardwolf, aimh, tris, otsuka, ironshore, kanjo, johnson & johnson/kenvue, kempharm/corium, akili, supernus, atentiv, noven, sky therapeutics, axsome and genomind",c.h.,exists is same context,contextual proximity,3,#808080
"aardvark, aardwolf, aimh, tris, otsuka, ironshore, kanjo, johnson & johnson/kenvue, kempharm/corium, akili, supernus, atentiv, noven, sky therapeutics, axsome and genomind",s.v.f.,exists is same context,contextual proximity,4,#808080
"aarhus, denmark","department of child and adolescent psychiatry, psychosomatics and psychotherapy, school of child and adolescent cognitive behavior therapy (akip)",exists is same context,contextual proximity,2,#808080
"aarhus, denmark","departments of human genetics and psychiatry, donders institute for brain, cognition and behaviour, radboud university medical center",exists is same context,contextual proximity,3,#808080
"aarhus, denmark","donders institute for brain, cognition and behaviour",exists is same context,contextual proximity,2,#808080
"aarhus, denmark",germany,exists is same context,contextual proximity,2,#808080
"aarhus, denmark",ireland,exists is same context,contextual proximity,2,#808080
"aarhus, denmark","national centre for register-based research, aarhus university",exists is same context,contextual proximity,2,#808080
"aarhus, denmark",nihr mindtech mental health medtech cooperative & centre for adhd and neurodevelopmental disorders across the lifespan (candal),exists is same context,contextual proximity,2,#808080
"aarhus, denmark","nijmegen, the netherlands",exists is same context,contextual proximity,2,#808080
"aarhus, denmark",radboud university medical centre,exists is same context,contextual proximity,4,#808080
"aarhus, denmark","trinity college, dublin, ireland",exists is same context,contextual proximity,2,#808080
"aarhus, denmark",university cologne,exists is same context,contextual proximity,2,#808080
"aarhus, denmark",vrije universiteit brussel (vub),exists is same context,contextual proximity,2,#808080
abbott,e.m.,exists is same context,contextual proximity,3,#808080
abbott,g.m.,exists is same context,contextual proximity,9,#808080
abbott,h.l.,exists is same context,contextual proximity,2,#808080
abbott,j.l.,exists is same context,contextual proximity,4,#808080
abbott,p.s.,exists is same context,contextual proximity,2,#808080
abbott,t.l.,exists is same context,contextual proximity,2,#808080
abdominal pain,adhd,exists is same context,contextual proximity,9,#808080
abdominal pain,adhd patients,exists is same context,contextual proximity,4,#808080
abdominal pain,anorexia,exists is same context,contextual proximity,12,#808080
abdominal pain,atomoxetine,exists is same context,contextual proximity,18,#808080
abdominal pain,clonidine,exists is same context,contextual proximity,3,#808080
abdominal pain,d-amphetamine,exists is same context,contextual proximity,9,#808080
abdominal pain,discontinuation due to adverse event,exists is same context,contextual proximity,15,#808080
abdominal pain,guanfacine,exists is same context,contextual proximity,21,#808080
abdominal pain,hypertension,exists is same context,contextual proximity,21,#808080
abdominal pain,hypotension,exists is same context,contextual proximity,3,#808080
abdominal pain,insomnia,exists is same context,contextual proximity,9,#808080
abdominal pain,lisdexamphetamine,exists is same context,contextual proximity,9,#808080
abdominal pain,medication treatment for adhd,exists is same context,contextual proximity,2,#808080
abdominal pain,methylphenidate,exists is same context,contextual proximity,13,#808080
abdominal pain,modafinil,exists is same context,contextual proximity,6,#808080
abdominal pain,sedation,exists is same context,contextual proximity,9,#808080
abdominal pain,stimulants,exists is same context,contextual proximity,2,#808080
abdominal pain,weight loss,exists is same context,contextual proximity,9,#808080
"abha, saudi arabia",kenya,exists is same context,contextual proximity,3,#808080
"abha, saudi arabia","seattle, wa, usa",exists is same context,contextual proximity,2,#808080
ability to control symptoms,adhd,exists is same context,contextual proximity,3,#808080
ability to control symptoms,adhd medication,exists is same context,contextual proximity,5,#808080
ability to control symptoms,"comorbidity (anxiety, stress disorder, depression, autism, or diabetes)",exists is same context,contextual proximity,2,#808080
abnormal child psychology,attention-deficit hyperactive disorder,exists is same context,contextual proximity,2,#808080
abnormal child psychology,child behavior checklist dysregulation profile,"The study of abnormal child psychology is related to the Child Behavior Checklist Dysregulation profile.,exists is same context",relation,6,#22dd22
abnormal physical conditions in children,adolescents,exists is same context,contextual proximity,3,#808080
abnormal physical conditions in children,goulstonian lectures,exists is same context,contextual proximity,2,#808080
abnormal psychical conditions in children,adolescents,exists is same context,contextual proximity,3,#808080
abnormal psychical conditions in children,goulstonian lectures,exists is same context,contextual proximity,2,#808080
abrupt discontinuation,behavioral changes,exists is same context,contextual proximity,3,#808080
abrupt discontinuation,cardiovascular effects,exists is same context,contextual proximity,2,#808080
abrupt discontinuation,central nervous system effects,exists is same context,contextual proximity,3,#808080
abrupt discontinuation,gastrointestinal issues,exists is same context,contextual proximity,3,#808080
"absher, d.","agartz, i.","co-author,exists is same context",relation,6,#22dd22
"absher, d.","akil, h.",exists is same context,contextual proximity,2,#808080
"absher, d.","amin, f.",exists is same context,contextual proximity,2,#808080
"absher, d.","andreassen, o.a.",exists is same context,contextual proximity,2,#808080
"absher, d.","anjorin, a.",exists is same context,contextual proximity,2,#808080
"absher, d.","anney, r.",exists is same context,contextual proximity,2,#808080
"absher, d.","anttila, v.",exists is same context,contextual proximity,2,#808080
"absher, d.","arking, d.e.",exists is same context,contextual proximity,2,#808080
"absher, d.","asherson, p.",exists is same context,contextual proximity,2,#808080
"absher, d.","azevedo, m.h.",exists is same context,contextual proximity,2,#808080
"absher, d.","backlund, l.",exists is same context,contextual proximity,2,#808080
"absher, d.","badner, j.a.",exists is same context,contextual proximity,2,#808080
"absher, d.","bailey, a.j.",exists is same context,contextual proximity,2,#808080
"absher, d.","goddard, m.e.",exists is same context,contextual proximity,6,#808080
"absher, d.","thapar, a.",exists is same context,contextual proximity,6,#808080
"absher, d.","witte, j.s.",exists is same context,contextual proximity,2,#808080
abstract problem solving,adhd,exists is same context,contextual proximity,11,#808080
"abuse, misuse, and diversion",academic performance enhancement,exists is same context,contextual proximity,2,#808080
"abuse, misuse, and diversion",non-medical use of stimulants,exists is same context,contextual proximity,3,#808080
abusive homes,adhd,exists is same context,contextual proximity,2,#808080
abusive homes,adhd in girls and women,exists is same context,contextual proximity,4,#808080
abusive homes,women with previously undiagnosed adhd,"reported by women with previously undiagnosed ADHD,exists is same context",relation,7,#22dd22
ac ting impulsively,adhd,exists is same context,contextual proximity,2,#808080
ac ting impulsively,symptoms,exists is same context,contextual proximity,4,#808080
acad. child adolesc. psychiatry,"mccarthy, s.","Author of,exists is same context",relation,6,#22dd22
acad. child adolesc. psychiatry,"mccauley, h.l.",exists is same context,contextual proximity,4,#808080
acad. child adolesc. psychiatry,"mcgough, j.j.",exists is same context,contextual proximity,2,#808080
acad. child adolesc. psychiatry,"mcleod, j.d.",exists is same context,contextual proximity,2,#808080
acad. child adolesc. psychiatry,"melby-lervag, m.",exists is same context,contextual proximity,2,#808080
academic achievement,childhood attention-deficit/hyperactivity disorder (adhd),exists is same context,contextual proximity,2,#808080
academic activity,adhd,exists is same context,contextual proximity,2,#808080
academic activity,adhd medication,exists is same context,contextual proximity,2,#808080
academic activity,amphetamines,exists is same context,contextual proximity,2,#808080
academic activity,stimulant use,exists is same context,contextual proximity,4,#808080
academic difficulties,adhd diagnosis,exists is same context,contextual proximity,2,#808080
academic impairment,accidental injuries,exists is same context,contextual proximity,3,#808080
academic impairment,adhd,exists is same context,contextual proximity,7,#808080
academic impairment,aggression,exists is same context,contextual proximity,3,#808080
academic impairment,highly intelligent people,exists is same context,contextual proximity,3,#808080
academic impairment,hyperactive-impulsive symptoms,exists is same context,contextual proximity,12,#808080
academic impairment,inattention,exists is same context,contextual proximity,4,#808080
academic impairment,low self-esteem,"are more strongly associated,exists is same context",relation,8,#22dd22
academic impairment,lower overall adaptive functioning,"are more strongly associated,exists is same context",relation,7,#22dd22
academic impairment,negative occupational outcomes,"are more strongly associated,exists is same context",relation,8,#22dd22
academic impairment,peer rejection,exists is same context,contextual proximity,3,#808080
academic impairment,risky driving behaviors,exists is same context,contextual proximity,3,#808080
academic impairment,symptoms,exists is same context,contextual proximity,3,#808080
academic outcomes,adhd symptoms,exists is same context,contextual proximity,3,#808080
academic outcomes,cognitive training,"no significant effects on academic outcomes with cognitive training,exists is same context",relation,7,#22dd22
academic outcomes,verbal working memory,exists is same context,contextual proximity,2,#808080
academic outcomes,working memory training,exists is same context,contextual proximity,2,#808080
academic performance,adhd,exists is same context,contextual proximity,8,#808080
academic performance,adhd treatment,exists is same context,contextual proximity,4,#808080
academic performance,disorder,exists is same context,contextual proximity,2,#808080
academic performance,medication,exists is same context,contextual proximity,6,#808080
academic performance,misusers,exists is same context,contextual proximity,2,#808080
academic performance,nonstimulants,exists is same context,contextual proximity,2,#808080
academic performance,prescription stimulants,exists is same context,contextual proximity,4,#808080
academic performance,selective norepinephrine reuptake inhibitors,exists is same context,contextual proximity,2,#808080
academic performance,sexual practices,exists is same context,contextual proximity,2,#808080
academic performance,side effects,exists is same context,contextual proximity,3,#808080
academic performance,viloxazine,exists is same context,contextual proximity,6,#808080
academic performance enhancement,"abuse, misuse, and diversion",exists is same context,contextual proximity,2,#808080
academic performance enhancement,adhd,"most commonly cited motivations for non-medical use in individuals with ADHD,exists is same context",relation,6,#22dd22
academic performance enhancement,adhd medications,exists is same context,contextual proximity,2,#808080
academic performance enhancement,asthma medications,exists is same context,contextual proximity,2,#808080
academic performance enhancement,bachelor's degree,exists is same context,contextual proximity,2,#808080
academic performance enhancement,educational attainment,exists is same context,contextual proximity,2,#808080
academic performance enhancement,non-medical use of stimulants,exists is same context,contextual proximity,6,#808080
academic performance enhancement,shopping behavior,exists is same context,contextual proximity,2,#808080
"academic, social, or occupational activities",adhd,exists is same context,contextual proximity,9,#808080
"academic, work-related and social problems",adhd,exists is same context,contextual proximity,2,#808080
"academic, work-related and social problems",adhd untreated into adulthood,exists is same context,contextual proximity,2,#808080
accepted manuscript version of the article,terms of such publishing agreement,The self-archiving is governed by the terms of the publishing agreement,relation,4,#22dd22
accidental causes or suicide,adults with adhd,exists is same context,contextual proximity,2,#808080
accidental causes or suicide,increased death risk,are associated with,relation,4,#22dd22
accidental injuries,academic impairment,exists is same context,contextual proximity,3,#808080
accidental injuries,adhd,exists is same context,contextual proximity,18,#808080
accidental injuries,adults,exists is same context,contextual proximity,2,#808080
accidental injuries,environmental risk factors,exists is same context,contextual proximity,2,#808080
accidental injuries,genetic risk factors,exists is same context,contextual proximity,2,#808080
accidental injuries,hyperactive-impulsive symptoms,exists is same context,contextual proximity,4,#808080
accidental injuries,medication use,exists is same context,contextual proximity,2,#808080
accidental injuries,people with adhd,exists is same context,contextual proximity,18,#808080
accidental injuries,qol,exists is same context,contextual proximity,2,#808080
accidental injuries,suicide,exists is same context,contextual proximity,2,#808080
accidental injuries,youth,exists is same context,contextual proximity,2,#808080
accidental physical injuries,adhd,exists is same context,contextual proximity,7,#808080
accidents,adhd,exists is same context,contextual proximity,37,#808080
accidents,adhd impairments,exists is same context,contextual proximity,2,#808080
accidents,arrest for aggressive offences,exists is same context,contextual proximity,3,#808080
accidents,criminality,exists is same context,contextual proximity,6,#808080
accidents,genetic risks,exists is same context,contextual proximity,3,#808080
accidents,hyperactivity/impulsivity,"The risk for accidents is typically associated with hyperactivity/impulsivity in young adult males.,exists is same context",relation,7,#22dd22
accidents,impact of adult adhd,"accidents can be related to the effects of ADHD on adults,exists is same context",relation,6,#22dd22
accidents,inattention,"A recent study found that women with ADHD are at increased risk for both minor and major accidents, which is also a cause of poor driving.,exists is same context",relation,7,#22dd22
accidents,instability of life,exists is same context,contextual proximity,3,#808080
accidents,premature death,"Accidental injury is a leading cause of premature death in adults with ADHD.,exists is same context",relation,7,#22dd22
accidents,prison,exists is same context,contextual proximity,3,#808080
accidents,psychiatric comorbidities,exists is same context,contextual proximity,3,#808080
accidents,qol,exists is same context,contextual proximity,2,#808080
accidents,qol measures,exists is same context,contextual proximity,3,#808080
accidents,women with adhd,exists is same context,contextual proximity,2,#808080
accommodation lag/variability,adhd,"A recent meta-analysis confirms an association between ADHD and vision problems, including accommodation lag/variability.,exists is same context",relation,16,#22dd22
accommodation lag/variability,college students with adhd,exists is same context,contextual proximity,2,#808080
acetaminophen,adhd,exists is same context,contextual proximity,3,#808080
acetaminophen,attention deficit hyperactivity disorder,"Prenatal exposure to acetaminophen has been linked to an increased risk of ADHD.,exists is same context",relation,7,#22dd22
acetylcholine,adhd risk,exists is same context,contextual proximity,3,#808080
acetylcholine,adhd symptom differences,exists is same context,contextual proximity,3,#808080
acetylcholine,androgenic hormones,exists is same context,contextual proximity,12,#808080
acetylcholine,arousal,exists is same context,contextual proximity,3,#808080
acetylcholine,attention,"interact with,exists is same context",relation,7,#22dd22
acetylcholine,dopamine,exists is same context,contextual proximity,2,#808080
acetylcholine,dopamine effect enhancement,exists is same context,contextual proximity,3,#808080
acetylcholine,dopaminergic system,exists is same context,contextual proximity,3,#808080
acetylcholine,drug abuse processes,"interact with,exists is same context",relation,7,#22dd22
acetylcholine,estrogen,exists is same context,contextual proximity,9,#808080
acetylcholine,food intake,"interact with,exists is same context",relation,7,#22dd22
acetylcholine,gabaergic system,exists is same context,contextual proximity,3,#808080
acetylcholine,genetic hypogonadism,exists is same context,contextual proximity,3,#808080
acetylcholine,glutamatergic system,exists is same context,contextual proximity,3,#808080
acetylcholine,hormone fluctuation,exists is same context,contextual proximity,3,#808080
acetylcholine,hyperactivity,exists is same context,contextual proximity,3,#808080
acetylcholine,impulsive decision making,exists is same context,contextual proximity,3,#808080
acetylcholine,nicotine,exists is same context,contextual proximity,3,#808080
acetylcholine,norepinephrine,exists is same context,contextual proximity,5,#808080
acetylcholine,orexins,exists is same context,contextual proximity,6,#808080
acetylcholine,prefrontal cortex,exists is same context,contextual proximity,3,#808080
acetylcholine,progesterone development,exists is same context,contextual proximity,3,#808080
acetylcholine,puberty development,exists is same context,contextual proximity,3,#808080
acetylcholine,reward,exists is same context,contextual proximity,3,#808080
acetylcholine,serotonergic system,exists is same context,contextual proximity,3,#808080
acetylcholine,symptom improvement,exists is same context,contextual proximity,3,#808080
acetylcholine,testosterone,exists is same context,contextual proximity,6,#808080
ach’e,a.y.m.,exists is same context,contextual proximity,2,#808080
