id,type
adhd phenotype,concept
adhd plus co ncomitant psychiatric disorders,condition
adhd polygenic risk scores,concept
adhd population,condition
adhd prevalence,condition
adhd prevalence among adolescents,condition
adhd prevalence estimates,concept
adhd prevalence estimates across three decades: an updated systematic review and meta-regression analysis,documents
adhd prevention,concept
adhd prototype,person
adhd prs,documents
adhd rates,concept
adhd related hospital admissions,condition
adhd revisited,concept
adhd risk,condition
adhd risk loci,concept
adhd scores,concept
adhd stimulant medicines,concept
adhd studies,service
adhd subtypes,condition
adhd symptom differences,condition
adhd symptom severity,concept
adhd symptomatology,condition
adhd symptoms,condition
adhd symptoms and diagnosis,concept
adhd therapy (stimulant or nonstimulant),service
adhd toolkit,documents
adhd traits,condition
adhd treatment and prognosis,concept
adhd treatment plan,condition
adhd treatment rate,documents
adhd treatment response,condition
adhd untreated into adulthood,condition
adhd-associated variants,condition
adhd-hyperactive subtype,condition
adhd-like symptoms,condition
adhd-related costs,other
adhd-related insomnia,concept
adherence to medication,condition
adlon therapeutics,organization
adolescence,date
adolescents treated for adhd,entity
adolescents with adhd,person
adolescents with newly diagnosed adhd should be assessed for substance use/abuse,concept
adult adhd and comorbid conditions,concept
adult adhd brain,location
adult adhd clinical diagnostic scale (acds),documents
adult adhd in practice,concept
adult adhd investigator symptom rating scale (aisrs),documents
adult adhd quality measures initiative,concept
adult adhd quality of life survey,service
adult adhd self-report scale (asrs),documents
adult adhd symptoms,condition
adult attention-deficit/hyperactivity disorder quality-of-life scale (aaqol),documents
adult attention-deficit/hyperactivity disorder: a randomized clinical trial,documents
adult functional impairment,concept
adult labor market outcomes,documents
adult population,entity
adulthood,date
adults with common psychiatric disorders,entity
advanced paternal age,concept
advanced practice nurse,person
adverse cv events,concept
adverse drug events in adhd patients,condition
adverse effects,condition
adverse outcome,condition
advisor to akili,organization
advisors to arbor pharmaceuticals,documents
adzenys xr,documents
affected individual,person
affective disorders,condition
affective lability scale,documents
affective lability scale –short form (als-18),documents
affective reactivity,concept
affective reactivity index,documents
affective reactivity index (ari),documents
affective style and affective disorders,concept
africa,location
african association of psychiatrists,organization
african college of psychopharmacology,organization
"agartz, i.",person
age,date
age 12 years,date
age 25,date
age at onset of mental disorders worldwide,object
age groups,concept
age of 16 or 17,date
age of first diagnosis,date
age- and sex-matched controls,documents
age-population-specific biomarkers,concept
age-typical mates,person
aggression,condition
aggression and emotional dysregulation,concept
aggression and emotional dysregulation scores,condition
"aggression, oppositional behavior, and conduct problems",condition
aggressive children,person
agitation,condition
agonists,documents
"ahnemark, e.",person
air pollutants,other
air pollution exposure,condition
"akil, h.",person
akili,organization
akili interactive,organization
"akmatov, m.k., et al.",other
alcobra,organization
alcobra (s/p),organization
"alcobra, ltd.",organization
alcohol,other
alcohol abuse or dependence,condition
"alcohol intoxication, dependence",documents
alcohol-use disorders,condition
"alda, m.",person
"alegret, m.",person
alerting network,concept
alexander crichton,person
alexandra philipsen,person
"alfredsson, l.",person
alimentary tract and metabolic medications,service
alkermes,organization
alkermes pharmaceuticals,organization
all-cause death,condition
all-cause treatment discontinuation,condition
allergan,organization
allergic reactions,condition
allergic rhinitis,condition
"alliance, c.a.r.",organization
alpha agonists,object
alpha agonists (clonidine and guanfacine),documents
alpha-2 adrenergic agonists,documents
alpha-2a adrenergic receptor agonist,concept
als,documents
"alyagon, u.",person
alzheimer’s disease,condition
am. j. psychiatry,service
amblyopia,condition
amblyopia (lazy eye),documents
"ameis, s.",person
american academy of child and adolescent psychiatry,organization
american academy of child and adolescent psychiatry adhd resource center,organization
american academy of family physicians,organization
american academy of pediatrics,organization
american journal of psychiatry,documents
american professional society of adhd and related disorders,organization
american psychiatric association,organization
american psychiatric publishing,organization
americans with disabilities act,organization
"amin, f.",person
amphetamine,service
amphetamine (amph),concept
amphetamine derivatives,object
amphetamine extended-release (oral suspension or oral disintegrating tablets),documents
amphetamine patch,concept
amplification of certain emotional states,concept
amsterdam university medical center (vumc),organization
"amsterdam university medical centers, academic medical center",organization
amygdala,object
amygdala and hippocampus,location
amygdala functional connectivity,documents
amygdala-prefrontal connectivity,concept
amyloid deposition,condition
anatomical differences in the eye,condition
"anatomy, epidemiology, clinical manifestations, and diagnosis",concept
andersen et al.,person
"andreassen, o.a.",person
androgenic hormones,concept
androutsos,person
angel-ini,organization
angelini,organization
anger control,concept
"anger, irritability, and aggression",concept
"anjorin, a.",person
ankk1,documents
ankk1 polymorphism,concept
ankylosing spondylitis,condition
"anney, r.",person
annual review of clinical psychology,documents
anomalous valuations,concept
anorexia,condition
anouk s.,person
anthropometric variables,condition
anti-infective agents,service
anticipatory self-preparation,concept
"antidepressants, antipsychotics, anti-attention-deficit/hyperactivity medications and mood stabilizers",documents
antipsychotics,documents
antisocial behavior,condition
antisocial disorders,concept
antisocial personality disorder,condition
antisocial traits,concept
"anttila, v.",person
anxiety,other
anxiety and mood disorders,condition
anxiety disorder,condition
anxiety or depression,other
"anxiety, depression, self-esteem",condition
aortic root disease,condition
apnea-hypopnea index,documents
appetite reduction,documents
appetite suppression,condition
apsard,organization
aptensio xr,documents
arbor,organization
arbor pharmaceuticals,organization
argumentative/defiant behavior and vindictiveness,condition
"arias vasquez, a.",person
arithmetic scores,concept
"arking, d.e.",person
arnold,person
"arns, m.",person
arnt s.,person
arousal,condition
"arranz, m.j.",person
arrest for aggressive offences,object
arrhythmia and sudden cardiac death (scd),condition
arrhythmia syndromes,condition
"arruda, m.a.",person
artificial food colors,documents
artificial food dyes,documents
artmed,organization
"artto, v.",organization
asd,condition
asd or adhd diagnosis,condition
"asherson, p.",person
asia,location
asian federation of adhd,organization
asrs-5,documents
assessment,documents
assessment and treatment response,concept
assets and strengths,concept
associated conditions,concept
associated emotional dysregulation,concept
associated features,concept
associated variants,concept
association between adhd and vision problems,object
association between exposure to air pollutants,concept
association between medication use and performance on higher education entrance tests,documents
association between medication use for attention-deficit/hyperactivity disorder and risk of motor vehicle crashes,documents
association for child and adolescent central health (acamh),organization
"association for child and adolescent central health (acamh), canadian adhd resource alliance (caddra), british association for psychopharmacology (bap), and healthcare convention",organization
association for child and adolescent mental health,organization
association of genetic risk factors for psychiatric disorders and traits of these disorders in a swedish population twin sample,concept
association of hypertensive disorders of pregnancy with risk of neurodevelopmental disorders in offspring,documents
astellas,organization
asthma,condition
asthma group,condition
asthma medications,documents
astigmatism,condition
asymmetry in the globus pallidus,condition
at least 80 percent of children will respond to a stimulant,concept
atomoxetine,object
atomoxetine (atx),documents
atomoxetine for attention deficit hyperactivity disorder in the adulthood: a meta-analysis and meta-regression,concept
atomoxetine treatment,concept
atopic dermatitis,condition
attention,concept
attention and behavior,condition
attention and cognitive control networks,concept
attention and concentration,condition
attention deficit,concept
attention deficit disorder association (adda),organization
attention deficit hyperactivity disorder in african american children,concept
attention deficit hyperactivity disorder in children and adolescents: clinical features and diagnosis,documents
attention problems,condition
attention-deficit/hyperactivity disorder + oppositional defiant disorder/conduct disorder,condition
attention-deficit/hyperactivity disorder medication treatment,concept
attention-deficit/hyperactivity disorder onset,condition
attention-deficit/hyperactivity disorder outcomes,condition
attention-deficit/hyperactivity disorder treatment guidelines,service
attention-deficit/hyperactivity disorder-specific quality of life,condition
attentional functioning,condition
attentional lapses,condition
"attia, j.",person
atx,object
atx for 10 –12 weeks,service
atypical functional development,concept
auditory sensory memory,condition
augusto vidal perera,person
australia,location
australian adhd professionals association,organization
australian and new zealand journal of psychiatry,documents
australian national health and medical research council,organization
author(s),person
authors,person
autism,condition
autoimmune disease,condition
autoimmune thyroid disease,condition
autonomy in young adults,condition
avekshan,organization
"avoidance of caffeine, alcohol, nicotine, and certain medications",concept
awmd online journal,documents
axsome,organization
ayurvedic therapies,service
"azevedo, m.h.",person
azstarys xr,documents
b.a. ely,person
b.b.,person
b.f.,person
b.s.g.m.,person
b.v.,person
bachelor's degree,documents
"backlund, l.",person
"badner, j.a.",person
"bailey, a.j.",person
"baltimore, md, usa",location
"banachewski, t.",person
bap,organization
"barcelona, catalonia, spain ",location
barkley deﬁcits in executive functioning scale — children and adolescents (bdefs-ca),documents
barkley functional impairment scale,service
barkley r.,person
barr,person
"barry, r. j.",person
barta,person
basal ganglia,location
"baseline characteristics, initial response, and long-term response to treatment with methylphenidate",concept
basic science and treatment innovation,concept
"bauer, m.",person
"becerra, r.",person
"becker, f.",person
bed time,date
bedtime resistance,condition
bedtime routines,concept
begin to work within 30 to 40 minutes,concept
behavior,other
behavior and learning at school,concept
behavior management techniques,concept
behavior management training,service
behavior modification,service
behavior modification system,concept
behavior of a child who has adhd,concept
behavior rating inventory of executive function,concept
behavior research and therapy,documents
behavior treatment,service
behavioral and mental health assessment,service
behavioral changes,condition
behavioral contributors,concept
behavioral contributors to sleep problems,condition
behavioral difficulties,condition
behavioral disorders,condition
behavioral expression,concept
behavioral health team,organization
behavioral impairments,condition
behavioral indicators of negative emotions,concept
behavioral innovations group,organization
behavioral monitoring,service
behavioral or environmental factors,concept
behavioral regulation index of the brief-a,documents
behavioral therapy for children,service
behavioral/emotional support,condition
behaviorrating inventory of executive function-adult version self-report (brief-a),documents
behaviour therapy,service
behavioural interventions,service
"beijing, china",location
being overweight/obesity,condition
"beiser, a.",person
belgium,location
"bellato, a. et al.",documents
beltz,organization
"benoit, allen.k.",person
"bergen, a.w.",person
"berkovitz, l.",person
best practices on diagnosing adhd,documents
"bettella, f.",person
"bevan, s.",person
bey,person
bfarm,organization
bgsocial,organization
bhschool of medical sciences,organization
bial,organization
"biederman, j.",person
bienvenu,person
biobehav. rev.,documents
biobehavioral reviews,documents
biocodex,organization
biofeedback,service
bioinformatics,service
biological and psychological causal mechanisms,documents
biological bases,condition
biological networks regulating emotions,documents
biological parents,entity
biological pathways,concept
biological psychiatry,documents
biomarin,organization
biomarkers,concept
biomedical network research centre on mental health (cibersam),organization
bipolar disorder,condition
"bjgrowth, development and mental health center for children and adolescents",organization
bknational research center for clinical medicine of child health and disease,organization
black,person
black box warning,condition
black minority youth,entity
black patients with adhd,entity
black population,other
bloch et al.,documents
"blogs, videos and the international consensus statement on adhd",service
blood lead levels,object
blood level,documents
blood levels/electrocardiogram,other
blood pressure,object
blood pressure (bp),concept
blthe subspecialty group of developmental and behavioral pediatrics,organization
blurting out answers too quickly,other
bmc psychiatry,documents
bmthe chinese society of child and adolescent psychiatry,organization
bnthe asian society for child and adolescent psychiatry and allied professions,organization
"boada, m.",person
"bodepartment of family medicine, sackler school of medicine",organization
boehringer,organization
boehringer-ingelheim,organization
"boncoraglio, g.",person
bone fractures,condition
"borck, g.",organization
borderline personality disorder,condition
bose corporation,organization
boys,person
bp increase of ≥15 to 20 mmhg,condition
bpd,condition
bpleumit health services,organization
bqisraeli society of adhd,organization
bradycardia,condition
bradycardia and hypotension,condition
brain,other
"brain and mind institute, and department of internal medicine, medical college east africa, the aga khan university",other
brain areas involved in the control of cognition,concept
brain cells,object
brain development,concept
brain function,concept
brain function improvement,condition
brain imaging,concept
brain imaging methods,object
brain level,documents
brain networks,concept
brain regions,object
brain structural abnormalities,concept
brain structure,concept
brain structure deficits,condition
brains of people without adhd,concept
brains of youths with adhd,concept
brand medication,documents
breastfeeding,condition
"breslau, j.a.",person
brief emotion regulation ratings,concept
brief-a,documents
bright light in the morning,service
"brinkman, w. b.",person
brisraeli national diabetes council,organization
british association for psychopharmacology,organization
british association of psychopharmacology (bap),organization
broad institute of mit and harvard,organization
broad-spectrum micronutrient supplements,documents
broadband psychopathology scales,documents
brown,person
"brown add rating scales for children, adolescents and adults (badds)",documents
bswashington university,organization
budman,person
buitelaar,person
"buitelaar, j.k.",person
bullying,concept
bupropion,other
"bupropion (wellbutrin, zyban)",documents
burden,condition
"buring, j.e.",organization
burn injuries,condition
business challenges,object
butwicka et al (2015),documents
"buxbaum, j.d.",person
"børglum, a.d.",person
c ognition control,concept
c. deruelle,person
c. ecker,person
c.a.h.,person
c.h.,person
c.m.h.,person
caars,documents
cabt,service
caddra,organization
caffeine,object
callous emotional traits,concept
callous-unemotional traits,concept
calm discipline,concept
cam treatment,concept
can cause sleepiness,concept
canada,location
canadian adhd practice guidelines,other
canadian adhd research alliance (caddra),organization
canadian adhd resource alliance,organization
canadian journal of behavioural science,documents
cannabis abuse or dependence,condition
"cannabis anxiety, paranoia",documents
capsule,object
cardiac abnormalities,object
cardiac arrest,condition
cardiac arrhythmias,condition
cardiac auscultation,service
cardiac diagnoses,condition
cardiac disease,condition
cardiac malformations,condition
cardiff university school of medicine,organization
cardiometabolic disease,concept
cardiomyopathy,concept
cardiovascular effects,condition
cardiovascular monitoring,service
cardiovascular risk assessment,other
cardiovascular safety,condition
cardiovascular side effects,condition
cardiovascular system medications,service
careful monitoring of medication,concept
caregiver,organization
case identification estimates,concept
castells et al (2011),documents
catala-lopez et al (2017),documents
catalonia,location
cath,person
catharina a. hartman,person
caucasian,entity
causes of the disorder,object
caye et al (2020),documents
cbcl,documents
cbt,concept
cbt (cognitive behavioural therapy),concept
cbt interventions,service
cbt on qol,documents
cbt/dbt program,concept
cd,condition
"cd, odd, aggression",condition
celiac disease,condition
center of neurodevelopmental disorders (kind),organization
centers for disease control and prevention (cdc) adhd,organization
central executive training,service
central nervous system effects,condition
centre for innovation in mental health,organization
centre of child and adolescent mental health,organization
cerebellar development,concept
cerebellum,location
cerebral cortex,concept
cgiels,service
chadd,organization
"chakravarty, m.m.",person
challenges in adhd care,concept
"chan, e.",person
"chang, z.",person
changes at school and/or at home,condition
changes in workplace mood,location
chaotic lifestyle,other
characterization of ei/desr in adhd,concept
charles bradley,person
charts and checklists,concept
checklist,documents
chemical exposure,concept
chemical stressors,documents
"chen et al., (2020a)",documents
"chen, c.k.",person
"chen, m.h.",person
"chen, m.h., su, t.p., chen, y.s., hsu, j.w., huang, k.l., chang, w.h., chen, t.j., bai, y.m.",person
cheon,person
chest pain,condition
child abuse negl.,documents
child and adolescent mental health,concept
child and adolescent psychiatrist,organization
child and adolescent psychiatry division,other
child anxiety disorders,concept
child behavior,condition
child behavior checklist,documents
child behavior checklist dysregulation profile,concept
child development,condition
child emotionality,concept
child maltreatment,condition
child monitoring and problem solving,service
child neurologist,organization
child taking medication,entity
child's doctor or nurse,person
child's hyperactivity and impulsive response style,concept
child's needs,entity
child's practitioner,organization
child's primary care practitioner,organization
child's school bag or desk,location
child's thinking,concept
childhood adversity,condition
childhood and adolescent onset psychiatric disorders,concept
"childhood and adolescent onset psychiatric disorders, substance use, and failure to graduate high school on time",condition
childhood comorbidities,concept
childhood epilepsy,condition
childhood experiences,condition
childhood exposure to secondhand cigarette smoke,condition
childhood irritability,condition
childhood onset adhd,concept
childhood patterns predictive of adult schizophrenia,documents
childhood/adolescent diagnosis,concept
childhood/adolescent diagnosis that persists into adulthood,other
children aged 14-15,date
children and adolescents with psychiatric disorders,object
children and adults with attention-deficit/hyperactivity disorder (chadd),organization
children and adults with delayed sleep-wake phase disorder,object
children of teenage mothers,other
children raised in nondeprived settings,entity
children treated for adhd,documents
children who are primarily inattentive,other
children who have not yet entered,date
children who have not yet entered elementary school,condition
children with adhd and delayed sleep phase,object
"children with adhd are at increased risk for depressed mood, characterized by negative ruminating thoughts",concept
children with both adhd and severe mood disorder,entity
children with cardiac disease,condition
children with generalized anxiety disorder are also prone to the psychophysiological subtype of chronic insomnia,concept
children with irregular sleep patterns or delayed sleep-wake phase,object
children with serious heart problems,object
children with sleep-onset insomnia,object
children with symptoms of osa,person
children with the hyperactive subtype of adhd,entity
children's academic performance,concept
children's emotion dysregulation,concept
children's sleep habits questionnaire (cshq),documents
children’s health-related quality of life,documents
children’s hospital of chongqing medical university,organization
china,location
china adhd alliance,organization
chinese classification and diagnostic criteria of mental disorder,documents
chinese medical association,organization
chinese society of child and adolescent psychiatry,organization
"ching, c.",person
chiropractic,service
choice-impulsivity,concept
choices,concept
chongqing science and technology bureau,organization
"chongqing, china",location
chris hollis,person
"christchurch, new zealand ",location
"christensen, j.h.",person
"christoffersen, m.n.",person
chrna7,other
chromosome abnormalities,condition
"chudal, r., joelsson, p., gyllenberg, d., lehti, v., leivonen, s., hinkka-yli-salomaki, s., gissler, m., sourander, a.",person
"cichon, s.",person
cigarette smoking,condition
cingulate therapeutics,organization
cingulum,object
cipla,documents
circadian rhythm disorders,condition
circadian rhythm disturbances,concept
circumstances outside work,location
ciullo,person
classroom,location
clinical and experimental factors,concept
clinical and experimental sciences (cns and psychiatry),organization
clinical assessment and tests,service
clinical evaluation,documents
clinical features,concept
clinical features in adhd and comorbid disorders,documents
clinical guidelines,documents
clinical interview,service
clinical manifestations and diagnosis,documents
clinical outcomes,concept
clinical overview,documents
clinical practice,service
clinical practice guideline,documents
clinical psychology review,documents
"clinical psychology, king khalid university",other
clinical recommendations,condition
clinical reports,documents
clinical responses,concept
clinical severity,condition
clinician,person
clinician specializing in adhd,service
clinician-reported developmental disability–children’s global assessment scale,concept
clonidine,object
clonidine (kapvay),documents
clonidine er,documents
clonidine extended-release,documents
clonidine or guanfacine,documents
close monitoring is advised,concept
close relative loss during pregnancy,other
cnv associations,documents
cnvs,documents
co-morbid conditions,condition
co-occurring disorders,condition
co-occurring mental and physical conditions,concept
co-worker support,organization
co-workers' perception of work contribution,organization
coaching,other
coaching therapy,service
cocaine abuse or dependence,condition
"cocaine cardiac problems, seizure",documents
coexisting psychiatric disorders,condition
coffey,person
cognition,documents
cognitive and dialectical behavior interventions,concept
cognitive behavioral practice,service
cognitive behavioural-based interventions,concept
cognitive control,concept
cognitive deficits,concept
cognitive dynamism,concept
cognitive errors,concept
cognitive event-related potentials (erps),documents
cognitive flexibility,concept
cognitive functions,concept
cognitive impairments,condition
cognitive interventions,service
cognitive or neuropsychological testing,documents
cognitive processes,concept
cognitive scores,concept
cognitive symptoms,object
cognitive training,concept
cognitive training for attention-deficit/hyperactivity disorder: meta-analysis of clinical and neuropsychological outcomes from randomized controlled trials,documents
cognitive-behavioral skills needed to cope with emotions,documents
cognitive-behavioral treatments for adult adhd,concept
cognitive-executive network,concept
cognitive–behavioural strategies,concept
"cohen, j., 1988. statistical power analysis for the behavioral sciences, 2nd ed. erlbaum, hillsdale, nj.",documents
college students with adhd,concept
"collins, r.l.",person
color differentiation,condition
columbia impairment scale,service
combinations of longer-acting and shorter-acting stimulants,documents
combinations of social disadvantages,concept
combinations of stimulants and non-stimulants,documents
combined pharmacotherapy-multimodal psychotherapy,concept
combined subtype,object
comedication,concept
common genetic variants,object
common psychiatric disorders,condition
communication between brain cells,concept
community psychosocial care,service
community support,service
comorbid condition,condition
comorbid internalizing symptoms,condition
comorbid mental condition,condition
comorbid psychopathology,condition
"comorbidity (anxiety, stress disorder, depression, autism, or diabetes)",condition
comorbidity and impairment,concept
comparative meta-analyses of brain structural and functional abnormalities during cognitive control,documents
comparison adjusted funnel plots,documents
complementary or alternative treatment,concept
completed suicide,condition
completion of no more than compulsory education,documents
complex cases,concept
complex chd,condition
complicated patients,concept
comprehensive medical history,concept
comprehensive psychiatry,service
comprehensive repeated assessments,concept
computer games for user engagement in attention deficit hyperactivity disorder (adhd) monitoring and therapy,concept
computer-based cognitive training,service
computerized tests,documents
concerta,documents
concussions,documents
condition,concept
conduct disorder,condition
conduct issues,concept
confounders,concept
congenital malformations,condition
conners adult adhd rating scales (caars),documents
conners global index (cgi) emotional lability scale,documents
conners rating scales – revised (crs-r),documents
conners' rating scales-revised technical manual,documents
constipation,condition
consultation,service
consumption of foods high in added sugar,condition
contempla xr,documents
content validity,concept
contents lists available at sciencedirect,documents
continuing education for health professionals,documents
contrast sensitivity,condition
"coon, h.",person
"cooper, m.",person
"cooper, r.e., tye, c., kuntsi, j., vassos, e., asherson, p.",person
cooperating,condition
copenhagen,location
coping mechanisms,concept
copy number variant risk,concept
copyright,concept
core symptoms,other
corium,organization
corpus callosum,object
correct dose of the stimulant medication,concept
correlation coefficient,concept
cortese et al.,documents
"cortese, s.",person
"cortese, s., faraone, s. v., konofal, e. & lecendreux, m.",documents
"cortese, s., ferrin, m., brandeis, d., buitelaar, j., daley, d., dittmann, r.w., holtmann, m., santosh, p., stevenson, j., stringaris, a., zuddas, a., sonuga-barke, e. j., european, a.g.g.",person
cortical association areas,concept
cortical maturation,concept
cortical surface area across disorders,object
cortical surface area and ventromedial orbito-frontal cortical thickness,concept
cortical thickness,concept
cortical thickness and surface area development,concept
cortico-limbic network,concept
cortico-striatal transcriptome,concept
cortico-striatal-thalamo-cortical pathway,concept
corticocerebellar networks,other
cost-effectiveness,condition
"coughlin, c.g.",person
counseling,service
counseling for adults with partners,documents
counseling or skills training,other
countries,location
courage,concept
course,concept
course of attention-deficit/hyperactivity disorder through midlife,object
cousins with epilepsy,other
covariation among response systems,concept
covid-19 pandemic,other
covid‐19 pandemic,condition
"craddock, n.",person
crash risk,documents
"craven, m.p.",person
creativity,concept
crime conviction,documents
crime rates,condition
criminal offenses,service
criminality,condition
criticism,object
"crosbie, j.",person
"cruceanu, c.",person
"cruchaga, c.",organization
"crunelle, c.l.",person
csr-r,service
"cuenca-leon, e.",organization
culture,concept
cumulative risks,condition
cumulative social disadvantage,concept
"cunill, r.",person
current and past academic functioning,documents
current symptoms,condition
"curry, a.e.",person
"curtin autism research group, school of occupational therapy, social work and speech pathology, curtin university",other
cusi,person
"cuthbert, b.n.",person
"czerski, p.m.",person
d&a pharma,organization
d-amphetamine sulfate,object
d-amphetamine transdermal system,service
d. coghill,person
d. denys,person
d.a.,person
d.a. fair,person
d.c.,person
d.f.c.,person
d.p.o.,person
dag gjeitneieset,person
daily life structure,concept
daily report card,documents
daily schedule,concept
"daily tasks at home, school, or work",documents
"dalsgaard, s.",person
dat1,documents
database of workers with adhd,documents
"davidson, r.j.",person
davis,person
daytime sleepiness,condition
daytrana,documents
"de geus, e.j.c.",person
"de rubeis, s.",person
decline in attention-deficit hyperactivity disorder traits over the life course in the general population: trajectories across five population birth cohorts spanning ages 3 to 45 years,documents
decongestants,documents
decreased appetite,condition
decreased prefrontal-limbic connectivity during a face go-no go task,condition
decreases in appetite,condition
deep sequencing studies,service
default mode network (dmn),concept
deficient emotional self-regulation (desr),concept
definition and classification of the cardiomyopathies,documents
"degenhardt, f.",person
delayed diagnosis,concept
delayed height gains,condition
delayed sleep onset,concept
delayed sleep-wake,condition
delayed sleep-wake phase disorder,condition
delays in children,condition
deliberate self-poisoning,concept
delinquency,condition
deloitte access economics,documents
"delorme, r.",person
dementia,condition
demontis et al.,service
"dempfle, a.",person
denmark,location
"denyer, h.",person
denys,person
department of biomedicine,organization
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences",other
"department of child & adolescent psychiatry, institute of psychiatry, psychology & neurosciences, king ’s college london",organization
department of child and adolescent psychiatry,organization
"department of child and adolescent psychiatry and psychotherapy, university hospital of psychiatry zurich",organization
"department of child and adolescent psychiatry, psychosomatics and psychotherapy (akip)",organization
"department of child and adolescent psychiatry, psychosomatics and psychotherapy, center of mental health, university hospital würzburg",organization
"department of cognitive neuroscience, donders institute for brain, cognition and behaviour",other
department of global public health and primary care,organization
department of medical epidemiology and biostatistics,organization
"department of mental health and behavioural science, moi university school of medicine",other
department of pediatrics,organization
department of psychiatry and behavioral sciences,organization
"department of psychiatry and forensic medicine, universitat autònoma de barcelona",organization
"department of psychiatry and psychotherapy, university hospital bonn",other
"department of psychiatry, brussel, belgium",organization
"department of psychiatry, hospital universitari vall d’hebron",organization
"department of psychiatry, icahn school of medicine at mount sinai",other
"department of psychiatry, psychosomatic medicine and psychotherapy, university hospital frankfurt",organization
"departments of human genetics and psychiatry, donders institute for brain, cognition and behaviour, radboud university medical center",organization
departments of psychiatry and neuroscience and physiology,organization
depienne,person
depressed patients,person
depression,condition
depression liability,condition
deprivation,condition
dermatitis,other
desr (delayed emotional return),concept
desr (diagnostic emotional severity rating),documents
dev. psychol.,documents
development and validation of a state-based measure of emotion dysregulation.,concept
development of adhd,condition
developmental behavioral pediatrician,person
developmental history,documents
developmental level,concept
developmental pediatrician,organization
"devenyi, g.a.",person
dexedrine,documents
dexmethylphenidate,object
dextroamphetamine,documents
diabetes,condition
diabetic ketoacidosis,condition
diagnoses,condition
diagnosis and management,concept
diagnosis criteria,object
diagnosis in adulthood,documents
diagnosis is often delayed,concept
diagnosis of adhd in a child,other
diagnostic and statistical manual of mental disorders,documents
diagnostic and therapeutic approaches,documents
